Action,ID,Glottocode,Reason
IGNORE,chambri,cham1313,not transnewguinea
IGNORE,chambri,cham1313,not transnewguinea
IGNORE,chambri,cham1313,not transnewguinea
IGNORE,chambri,cham1313,not transnewguinea
IGNORE,chambri-kilimbit,cham1313,not transnewguinea
IGNORE,chenapian,chen1259,not transnewguinea
IGNORE,chenapian,chen1259,not transnewguinea
IGNORE,demisa,demi1242,not transnewguinea
IGNORE,dera,dera1245,not transnewguinea
IGNORE,dera-amgotro,dera1245,not transnewguinea
IGNORE,dera-monggowar,dera1245,not transnewguinea
IGNORE,dia,diaa1238,not transnewguinea
IGNORE,dibiyaso,dibi1240,not transnewguinea
IGNORE,dibiyaso,dibi1240,not transnewguinea
IGNORE,dibiyaso,dibi1240,not transnewguinea
IGNORE,diebroud-dabra,tawo1244,not transnewguinea
IGNORE,diebroud-taworta,tawo1244,not transnewguinea
IGNORE,dineor,mare1261,not transnewguinea
IGNORE,doso,doso1239,not transnewguinea
IGNORE,doutai,dout1240,not transnewguinea
IGNORE,doutai,dout1240,not transnewguinea
IGNORE,duriankere,duri1243,not transnewguinea
IGNORE,duvle,duvl1242,not transnewguinea
IGNORE,edopi,edop1238,not transnewguinea
IGNORE,elkei,elke1240,not transnewguinea
IGNORE,elseng,else1239,not transnewguinea
IGNORE,elseng,else1239,not transnewguinea
IGNORE,eritai,erit1239,not transnewguinea
IGNORE,eritai,erit1239,not transnewguinea
IGNORE,fasu,fasu1242,not transnewguinea
IGNORE,fasu,fasu1242,not transnewguinea
IGNORE,fasu,fasu1242,not transnewguinea
IGNORE,fayu,fayu1238,not transnewguinea
IGNORE,fayu-sehudate,fayu1238,not transnewguinea
IGNORE,foau,foau1240,not transnewguinea
IGNORE,gaikundi,gaik1242,not transnewguinea
IGNORE,gizra-kupere,gizr1240,not transnewguinea
IGNORE,gizra-togo,gizr1240,not transnewguinea
IGNORE,gizra-waidoro,waid1239,not transnewguinea
IGNORE,gizrra,gizr1240,not transnewguinea
IGNORE,gresi,gres1240,not transnewguinea
IGNORE,hatam,hata1243,not transnewguinea
IGNORE,hatam-borai,hata1243,not transnewguinea
IGNORE,heyo,heyo1240,not transnewguinea
IGNORE,hiri-motu,hiri1237,not transnewguinea
IGNORE,iatmul,iatm1242,not transnewguinea
IGNORE,iatmul-brugnowi,iatm1242,not transnewguinea
IGNORE,iatmul-brugnowi,iatm1242,not transnewguinea
IGNORE,iatmul-kanganaman,iatm1242,not transnewguinea
IGNORE,iatmul-korogo,iatm1242,not transnewguinea
IGNORE,iatmul-sawos,iatm1242,not transnewguinea
IGNORE,iatmul-tambanam,iatm1242,not transnewguinea
IGNORE,iau,iauu1242,not transnewguinea
IGNORE,isirawa,isir1237,not transnewguinea
IGNORE,iteri,iter1241,not transnewguinea
IGNORE,iteri-rocky-peak,iter1241,not transnewguinea
IGNORE,itik,itik1240,not transnewguinea
IGNORE,iwam,iwam1256,not transnewguinea
IGNORE,iwam,iwam1256,not transnewguinea
IGNORE,kaiy,kaiy1239,not transnewguinea
IGNORE,kaiy,kaiy1239,not transnewguinea
IGNORE,kalabra,kala1256,not transnewguinea
IGNORE,kanggape,kang1291,not transnewguinea
IGNORE,kanum,ngka1235,not transnewguinea
IGNORE,kanum,ngka1235,not transnewguinea
IGNORE,kapauri,kapo1250,not transnewguinea
IGNORE,kapriman,kapr1245,not transnewguinea
IGNORE,karawa,kara1495,not transnewguinea
IGNORE,karon-dori,karo1303,not transnewguinea
IGNORE,karon-dori,karo1303,not transnewguinea
IGNORE,kauwera,kauw1242,not transnewguinea
IGNORE,kayan,kaia1245,not transnewguinea
IGNORE,kemtuik,kemt1242,not transnewguinea
IGNORE,keraki,namb1293,not transnewguinea
IGNORE,keuw,kehu1238,not transnewguinea
IGNORE,kire,kire1240,not transnewguinea
IGNORE,kirikiri,kiri1256,not transnewguinea
IGNORE,kirikiri-faia,faia1238,not transnewguinea
IGNORE,konda,kond1303,not transnewguinea
IGNORE,kopar,kopa1248,not transnewguinea
IGNORE,kopar,kopa1248,not transnewguinea
IGNORE,kopar-singarin,kopa1248,not transnewguinea
IGNORE,kopar-singarin,kopa1248,not transnewguinea
IGNORE,kwerba,nucl1595,not transnewguinea
IGNORE,kwerba-airmati,nucl1595,not transnewguinea
IGNORE,kwerisa,kwer1264,not transnewguinea
IGNORE,kwesten,kwes1245,not transnewguinea
IGNORE,kwoma,kwom1262,not transnewguinea
IGNORE,kwoma,kwom1262,not transnewguinea
IGNORE,kyaimbarang,kyen1243,not transnewguinea
IGNORE,lau,foii1242,not transnewguinea
IGNORE,mai-brat,maib1239,not transnewguinea
IGNORE,maklew,makl1246,not transnewguinea
IGNORE,maklew,makl1246,not transnewguinea
IGNORE,manambu,mana1298,not transnewguinea
IGNORE,mander,mand1443,not transnewguinea
IGNORE,manem,mane1266,not transnewguinea
IGNORE,manem,mane1266,not transnewguinea
IGNORE,manikion,mani1235,not transnewguinea
IGNORE,marangis,wata1253,not transnewguinea
IGNORE,mawes,mawe1251,not transnewguinea
IGNORE,maybrat,maib1239,not transnewguinea
IGNORE,mbore,bore1247,not transnewguinea
IGNORE,mehek,mehe1243,not transnewguinea
IGNORE,mekwei,mekw1241,not transnewguinea
IGNORE,mende,mend1268,not transnewguinea
IGNORE,meyah,meya1236,not transnewguinea
IGNORE,meyah-akrin,meya1236,not transnewguinea
IGNORE,meyah-anason,meya1236,not transnewguinea
IGNORE,meyah-etskebi,meya1236,not transnewguinea
IGNORE,meyah-miun,meya1236,not transnewguinea
IGNORE,meyah-mumbrani,meya1236,not transnewguinea
IGNORE,minidien,mini1253,not transnewguinea
IGNORE,miyak,kyen1243,not transnewguinea
IGNORE,mlap,mlap1238,not transnewguinea
IGNORE,moi,moii1235,not transnewguinea
IGNORE,molof,molo1262,not transnewguinea
IGNORE,molof,molo1262,not transnewguinea
IGNORE,moraid,mora1239,not transnewguinea
IGNORE,moskona,mosk1236,not transnewguinea
IGNORE,moskona-merdey,mosk1236,not transnewguinea
IGNORE,mpur,mpur1239,not transnewguinea
IGNORE,mpur,mpur1239,not transnewguinea
IGNORE,mpur-arfu,mpur1239,not transnewguinea
IGNORE,mpur-kebar,mpur1239,not transnewguinea
IGNORE,murik,muri1260,not transnewguinea
IGNORE,murik,muri1260,not transnewguinea
IGNORE,nabi,nabi1239,not transnewguinea
IGNORE,nabi,nabi1239,not transnewguinea
IGNORE,nabi,nabi1239,not transnewguinea
IGNORE,nagatiman,yale1246,not transnewguinea
IGNORE,namia,nami1256,not transnewguinea
IGNORE,namia,nami1256,not transnewguinea
IGNORE,namo,namo1246,not transnewguinea
IGNORE,namumi,fasu1242,not transnewguinea
IGNORE,namumi,fasu1242,not transnewguinea
IGNORE,ngala,ngal1300,not transnewguinea
IGNORE,nimboran,nucl1633,not transnewguinea
IGNORE,nimo,nimo1247,not transnewguinea
IGNORE,nimo,nimo1247,not transnewguinea
IGNORE,ningil,ning1273,not transnewguinea
IGNORE,obokuitai,obok1239,not transnewguinea
IGNORE,odiai,odia1239,not transnewguinea
IGNORE,olo,oloo1241,not transnewguinea
IGNORE,one-inebu,ineb1235,not transnewguinea
IGNORE,orya,orya1242,not transnewguinea
IGNORE,orya,orya1242,not transnewguinea
IGNORE,owiniga,owin1240,not transnewguinea
IGNORE,owiniga,owin1240,not transnewguinea
IGNORE,owiniga,owin1240,not transnewguinea
IGNORE,owiniga,owin1240,not transnewguinea
IGNORE,pahi,pahi1246,not transnewguinea
IGNORE,papasena,papa1269,not transnewguinea
IGNORE,papi,papi1255,not transnewguinea
IGNORE,parb,namb1293,not transnewguinea
IGNORE,pouye,pouy1238,not transnewguinea
IGNORE,pyu,pyuu1245,not transnewguinea
IGNORE,pyu,pyuu1245,not transnewguinea
IGNORE,rao,raoo1244,not transnewguinea
IGNORE,rasawa,rasa1243,not transnewguinea
IGNORE,samarokena,sama1240,not transnewguinea
IGNORE,saniyo-hiyewe,sani1270,not transnewguinea
IGNORE,saniyo-hiyewe,sani1270,not transnewguinea
IGNORE,saponi,sapo1254,not transnewguinea
IGNORE,sause,saus1247,not transnewguinea
IGNORE,seget,sege1235,not transnewguinea
IGNORE,seta,seta1245,not transnewguinea
IGNORE,seta,seta1245,not transnewguinea
IGNORE,seti,seti1248,not transnewguinea
IGNORE,siawi,siaw1243,not transnewguinea
IGNORE,sikaritai,sika1263,not transnewguinea
IGNORE,sikaritai,sika1263,not transnewguinea
IGNORE,siliput,sili1247,not transnewguinea
IGNORE,sinagen,sina1269,not transnewguinea
IGNORE,skou,nucl1634,not transnewguinea
IGNORE,skou,nucl1634,not transnewguinea
IGNORE,sowanda,sowa1245,not transnewguinea
IGNORE,sowanda,sowa1245,not transnewguinea
IGNORE,suabo,suab1238,not transnewguinea
IGNORE,tabo,tabo1241,not transnewguinea
IGNORE,tabo,tabo1241,not transnewguinea
IGNORE,tabriak,tabr1243,not transnewguinea
IGNORE,tabriak,tabr1243,not transnewguinea
IGNORE,tabriak,tabr1243,not transnewguinea
IGNORE,tabriak,tabr1243,not transnewguinea
IGNORE,taikat,taik1255,not transnewguinea
IGNORE,taikat,taik1255,not transnewguinea
IGNORE,tanggu,tang1355,not transnewguinea
IGNORE,tause,taus1252,not transnewguinea
IGNORE,tause-deirate,deir1239,not transnewguinea
IGNORE,tause-weirate,weir1238,not transnewguinea
IGNORE,tehit,tehi1237,not transnewguinea
IGNORE,tofanma,tofa1246,not transnewguinea
IGNORE,tofanma,tofa1246,not transnewguinea
IGNORE,torricelli,torr1259,not transnewguinea
IGNORE,tunggare,tung1293,not transnewguinea
IGNORE,urat,urat1244,not transnewguinea
IGNORE,urim,urim1252,not transnewguinea
IGNORE,usku,usku1243,not transnewguinea
IGNORE,usku,usku1243,not transnewguinea
IGNORE,viid,seng1285,not transnewguinea
IGNORE,viid,seng1285,not transnewguinea
IGNORE,walio,nucl1453,not transnewguinea
IGNORE,wanap,wana1268,not transnewguinea
