Language,Taxon,Glottocode,Family,Clade,Classification,Latitude,Longitude
alamblak,alamblak_dc85,alam1246,Sepik,Sepik,sepi1257/sepi1258/east2496,-4.66307,143.316
alamblak,alamblak_d68,alam1246,Sepik,Sepik,sepi1257/sepi1258/east2496,-4.66307,143.316
alekano,alekano_s56,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano,alekano_s78,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano,alekano_sil-1965d,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-asaroyufa,alekano-asaroyufa_sil-1975h,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-kefamo,alekano-kefamo_sil-1975g,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-kotuni,alekano-kotuni_sil-1975f,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-notofana,alekano-notofana_sil-1976b,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-wanima,alekano-wanima_sil-1975e,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-wanima,alekano-wanima_sil-1962b,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alfendio,alfendio_dc85,tape1242,Arafundi,Arafundi,araf1243,-4.77763,143.337
ama,ama_sil-1974b,amap1240,Left May,Left May,left1242/nucl1244,-4.20192,141.658
ama,ama_cd75,amap1240,Left May,Left May,left1242/nucl1244,-4.20192,141.658
amaimon,amaimon_z80n,amai1246,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234,-5.18742,145.368
amal,amal_l68,amal1242,Sepik,Sepik,sepi1257,-4.04517,141.995
ambakich-agurant,ambakich-agurant_p2008,amba1269,Keram,Keram,kera1258/east2864,-4.23181,144.285
ambakich-agurant,ambakich-agurant_sil-1977b,amba1269,Keram,Keram,kera1258/east2864,-4.23181,144.285
ambakich-arango,ambakich-arango_p2008,amba1269,Keram,Keram,kera1258/east2864,-4.23181,144.285
ambakich-ombos,ambakich-ombos_p2008,amba1269,Keram,Keram,kera1258/east2864,-4.23181,144.285
ambakich-pangin,ambakich-pangin_p2008,amba1269,Keram,Keram,kera1258/east2864,-4.23181,144.285
ambakich-yaut,ambakich-yaut_p2008,amba1269,Keram,Keram,kera1258/east2864,-4.23181,144.285
ambe-dofo,ambe-dofo_sm2011,kora1294,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297/gaen1235,-9.07,149.267
ambulas,ambulas_f2005,ambu1247,Ndu,Ndu,nduu1242/nucl1642/ambu1246,-3.7801,143.059
ambulas,ambulas_l68,ambu1247,Ndu,Ndu,nduu1242/nucl1642/ambu1246,-3.7801,143.059
amele,amele_z80m,amel1241,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/mabu1247/gumm1240,-5.29126,145.687
amol,amol_l68,amol1235,Nuclear Torricelli,Nuclear Torricelli,nucl1708/wape1249/cent2407/nucl1722/brag1241,-3.46843,142.532
amowe-bere,amowe-bere_l2008,dudu1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/nuru1240,-5.43119,145.642
amowe-gomu,amowe-gomu_l2008,dudu1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/nuru1240,-5.43119,145.642
amowe-tagoe,amowe-tagoe_l2008,dudu1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/nuru1240,-5.43119,145.642
amto,amto_cd75,amto1250,Amto-Musan,Amto-Musan,amto1249,-4.12165,141.339
anam,anam_z80s,anam1247,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272,-4.68869,145.051
anamgura,anamgura_z80s,anam1248,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272/anam1250,-4.63762,144.991
angaataha,angaataha_ll73,anga1290,Angan,Angan,anga1289,-7.15012,146.352
angal,angal_f75,anga1293,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/kewa1249/anga1291/anga1313/anga1314,-6.0127,143.592
angal-enen,angal-enen_f75,anga1294,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/kewa1249/anga1291/anga1313/anga1314,-6.23296,143.583
angal-heneng,angal-heneng_f75,anga1292,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/kewa1249/anga1291/anga1313/anga1314,-6.13347,143.478
angoram,angoram_f86,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram,angoram_sil-1975j,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram,angoram_f2005,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram-kambrindo,angoram-kambrindo_a85,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram-kanduanum,angoram-kanduanum_a85,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram-karau,angoram-karau_a85,muri1260,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423/norr1244,-3.86959,144.166
angoram-magendo,angoram-magendo_a85,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram-marbuk,angoram-marbuk_a85,ango1255,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423,-4.07758,144.028
angoram-wagamut,angoram-wagamut_a85,muri1260,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/lowe1423/norr1244,-3.86959,144.166
anjam,anjam_z80r,anja1238,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332,-5.45899,145.717
anjam-lalok,anjam-lalok_rj2003,anja1238,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332,-5.45899,145.717
ankave,ankave_ll73,anka1246,Angan,Angan,anga1289/nucl1763/sout3130,-7.19444,145.754
ap-ma,ap-ma_sil-1975k,apma1241,Keram,Keram,kera1258/east2864,-4.35147,144.085
ap-ma-kambaramba,ap-ma-kambaramba_a85,kamb1306,Keram,Keram,kera1258/east2864/apma1241,,
apali,apali_d2010,apal1256,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258,-5.1727,145.023
apali,apali_z80s,apal1256,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258,-5.1727,145.023
aramo,aramo_dc85,pina1252,Piawi,Piawi,piaw1238,-5.12624,144.137
arandai,arandai_v75,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arandai-barau,arandai-barau_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arandai-kasuwer,arandai-kasuwer_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arandai-sebyar,arandai-sebyar_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arandai-tarof,arandai-tarof_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arandai-weriagar,arandai-weriagar_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arawum,arawum_z80r,araw1272,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/kabe1245,-5.52787,145.903
ari,ari_r76,arii1243,Suki-Gogodala,Suki-Gogodala,suki1244/gogo1264/ariw1234,-7.95526,142.4
aruamu,aruamu_f2005,arua1260,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/ramu1234/lowe1439/kire1239/mika1254,-4.28957,144.842
aruop,aruop_l68,aruo1240,Nuclear Torricelli,Nuclear Torricelli,nucl1708/wape1249/cent2407/nucl1722/brag1241,-3.45782,142.478
asaroo,asaroo_mv70,asar1240,Nuclear Trans New Guinea,TNG.FH.Finisterre,nucl1709/fini1244/fini1245/waru1269/nucl1777/mole1240,-5.68263,146.508
asas,asas_z80r,asas1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/evap1240/sins1241,-5.69345,145.549
asmat-casuarina-coast,asmat-casuarina-coast_v75,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast,asmat-casuarina-coast_vdw74,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-aorket,asmat-casuarina-coast-aorket_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-makair,asmat-casuarina-coast-makair_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-masin,asmat-casuarina-coast-masin_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-mayun,asmat-casuarina-coast-mayun_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-nanew,asmat-casuarina-coast-nanew_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-otenep,asmat-casuarina-coast-otenep_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-piramat,asmat-casuarina-coast-piramat_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-pirimapun,asmat-casuarina-coast-pirimapun_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-casuarina-coast-tareo,asmat-casuarina-coast-tareo_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-central,asmat-central_mv70,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central,asmat-central_vdw74,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-kainak-ao,asmat-central-kainak-ao_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-kainak-atat,asmat-central-kainak-atat_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-kainak-kapi,asmat-central-kainak-kapi_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-kainak-yamas,asmat-central-kainak-yamas_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenakap-awok,asmat-central-keenakap-awok_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenakap-fos,asmat-central-keenakap-fos_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenakap-kaimo,asmat-central-keenakap-kaimo_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenakap-miwar,asmat-central-keenakap-miwar_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenakap-namen,asmat-central-keenakap-namen_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenakap-yaosakor,asmat-central-keenakap-yaosakor_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenok-komar,asmat-central-keenok-komar_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-keenok-manep,asmat-central-keenok-manep_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-keenok-monu,asmat-central-keenok-monu_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-keenok-mu-akani,asmat-central-keenok-mu-akani_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
