lexicon_id,cognateset_id,source_id,source
82787,345,89,daniels2010
82788,345,89,daniels2010
82789,345,89,daniels2010
82790,345,89,daniels2010
82785,345,89,daniels2010
82786,345,89,daniels2010
159931,902,107,mcelhanon_and_voorhoeve1970
159930,902,107,mcelhanon_and_voorhoeve1970
159923,902,107,mcelhanon_and_voorhoeve1970
159922,902,107,mcelhanon_and_voorhoeve1970
159926,902,107,mcelhanon_and_voorhoeve1970
159950,902,107,mcelhanon_and_voorhoeve1970
159932,902,107,mcelhanon_and_voorhoeve1970
159928,902,107,mcelhanon_and_voorhoeve1970
159948,902,107,mcelhanon_and_voorhoeve1970
159908,902,107,mcelhanon_and_voorhoeve1970
159907,902,107,mcelhanon_and_voorhoeve1970
159921,902,107,mcelhanon_and_voorhoeve1970
159900,902,107,mcelhanon_and_voorhoeve1970
159899,902,107,mcelhanon_and_voorhoeve1970
159898,902,107,mcelhanon_and_voorhoeve1970
159884,902,107,mcelhanon_and_voorhoeve1970
159883,902,107,mcelhanon_and_voorhoeve1970
159882,902,107,mcelhanon_and_voorhoeve1970
159881,902,107,mcelhanon_and_voorhoeve1970
159880,902,107,mcelhanon_and_voorhoeve1970
159879,902,107,mcelhanon_and_voorhoeve1970
159954,902,107,mcelhanon_and_voorhoeve1970
159956,902,107,mcelhanon_and_voorhoeve1970
159955,902,107,mcelhanon_and_voorhoeve1970
159906,902,107,mcelhanon_and_voorhoeve1970
159949,902,107,mcelhanon_and_voorhoeve1970
159951,902,107,mcelhanon_and_voorhoeve1970
159929,902,107,mcelhanon_and_voorhoeve1970
159927,902,107,mcelhanon_and_voorhoeve1970
92242,1192,94,mcelhanon-1967
15093,1192,30,dutton2010
15092,1192,30,dutton2010
92250,1192,94,mcelhanon-1967
92246,1192,94,mcelhanon-1967
15094,1192,30,dutton2010
92248,1192,94,mcelhanon-1967
15091,1192,30,dutton2010
92241,1192,94,mcelhanon-1967
14212,1305,30,dutton2010
14214,1305,30,dutton2010
14213,1305,30,dutton2010
14216,1305,30,dutton2010
14215,1305,30,dutton2010
14218,1306,30,dutton2010
14219,1306,30,dutton2010
14221,1307,30,dutton2010
14224,1307,30,dutton2010
14223,1307,30,dutton2010
14222,1307,30,dutton2010
14226,1308,30,dutton2010
14227,1308,30,dutton2010
14229,1309,30,dutton2010
14232,1309,30,dutton2010
14231,1309,30,dutton2010
14230,1309,30,dutton2010
14235,1310,30,dutton2010
14236,1310,30,dutton2010
14234,1310,30,dutton2010
14238,1311,30,dutton2010
14239,1311,30,dutton2010
14244,1312,30,dutton2010
14243,1312,30,dutton2010
14242,1312,30,dutton2010
14241,1312,30,dutton2010
14246,1313,30,dutton2010
14247,1313,30,dutton2010
14248,1313,30,dutton2010
14249,1313,30,dutton2010
14251,1314,30,dutton2010
14252,1314,30,dutton2010
14253,1314,30,dutton2010
14257,1315,30,dutton2010
14255,1315,30,dutton2010
14256,1315,30,dutton2010
14262,1316,30,dutton2010
14261,1316,30,dutton2010
14260,1316,30,dutton2010
14259,1316,30,dutton2010
14267,1317,30,dutton2010
14266,1317,30,dutton2010
14265,1317,30,dutton2010
14264,1317,30,dutton2010
14269,1318,30,dutton2010
14270,1318,30,dutton2010
14271,1318,30,dutton2010
14274,1319,30,dutton2010
14273,1319,30,dutton2010
14275,1319,30,dutton2010
14277,1320,30,dutton2010
14278,1320,30,dutton2010
14283,1321,30,dutton2010
14282,1321,30,dutton2010
14281,1321,30,dutton2010
14280,1321,30,dutton2010
14287,1322,30,dutton2010
14291,1322,30,dutton2010
14290,1322,30,dutton2010
14286,1322,30,dutton2010
14289,1322,30,dutton2010
14285,1322,30,dutton2010
14288,1322,30,dutton2010
14294,1323,30,dutton2010
14293,1323,30,dutton2010
14297,1324,30,dutton2010
14296,1324,30,dutton2010
14299,1325,30,dutton2010
14302,1325,30,dutton2010
14301,1325,30,dutton2010
14300,1325,30,dutton2010
14306,1326,30,dutton2010
14305,1326,30,dutton2010
14304,1326,30,dutton2010
14309,1327,30,dutton2010
14308,1327,30,dutton2010
14311,1328,30,dutton2010
14313,1328,30,dutton2010
14312,1328,30,dutton2010
14316,1329,30,dutton2010
14315,1329,30,dutton2010
14317,1329,30,dutton2010
14318,1329,30,dutton2010
14319,1329,30,dutton2010
14322,1330,30,dutton2010
14321,1330,30,dutton2010
14326,1331,30,dutton2010
14325,1331,30,dutton2010
14324,1331,30,dutton2010
14328,1332,30,dutton2010
14329,1332,30,dutton2010
14332,1333,30,dutton2010
14331,1333,30,dutton2010
14333,1333,30,dutton2010
14336,1334,30,dutton2010
14337,1334,30,dutton2010
14338,1334,30,dutton2010
14339,1334,30,dutton2010
14335,1334,30,dutton2010
14341,1335,30,dutton2010
14342,1335,30,dutton2010
14345,1336,30,dutton2010
14344,1336,30,dutton2010
14346,1336,30,dutton2010
14348,1337,30,dutton2010
14349,1337,30,dutton2010
14353,1338,30,dutton2010
14351,1338,30,dutton2010
14352,1338,30,dutton2010
14357,1339,30,dutton2010
14356,1339,30,dutton2010
14355,1339,30,dutton2010
14360,1340,30,dutton2010
14359,1340,30,dutton2010
14362,1341,30,dutton2010
14364,1341,30,dutton2010
14363,1341,30,dutton2010
14369,1342,30,dutton2010
14368,1342,30,dutton2010
14367,1342,30,dutton2010
14366,1342,30,dutton2010
14373,1343,30,dutton2010
14372,1343,30,dutton2010
14371,1343,30,dutton2010
14375,1344,30,dutton2010
14377,1344,30,dutton2010
14376,1344,30,dutton2010
14381,1345,30,dutton2010
14382,1345,30,dutton2010
14379,1345,30,dutton2010
14380,1345,30,dutton2010
14384,1346,30,dutton2010
14385,1346,30,dutton2010
14388,1347,30,dutton2010
14387,1347,30,dutton2010
14391,1348,30,dutton2010
14390,1348,30,dutton2010
14392,1348,30,dutton2010
14397,1349,30,dutton2010
14395,1349,30,dutton2010
14394,1349,30,dutton2010
14396,1349,30,dutton2010
14401,1350,30,dutton2010
14402,1350,30,dutton2010
14403,1350,30,dutton2010
14399,1350,30,dutton2010
14400,1350,30,dutton2010
14407,1351,30,dutton2010
14406,1351,30,dutton2010
14405,1351,30,dutton2010
14408,1351,30,dutton2010
14411,1352,30,dutton2010
14412,1352,30,dutton2010
14413,1352,30,dutton2010
14414,1352,30,dutton2010
14410,1352,30,dutton2010
14416,1353,30,dutton2010
14417,1353,30,dutton2010
14418,1353,30,dutton2010
14419,1353,30,dutton2010
14423,1354,30,dutton2010
14422,1354,30,dutton2010
14421,1354,30,dutton2010
14427,1355,30,dutton2010
14425,1355,30,dutton2010
14426,1355,30,dutton2010
14429,1356,30,dutton2010
14430,1356,30,dutton2010
14433,1357,30,dutton2010
14432,1357,30,dutton2010
14435,1358,30,dutton2010
14436,1358,30,dutton2010
14438,1359,30,dutton2010
14440,1359,30,dutton2010
14439,1359,30,dutton2010
14443,1360,30,dutton2010
14442,1360,30,dutton2010
14445,1361,30,dutton2010
14446,1361,30,dutton2010
14447,1361,30,dutton2010
14456,1363,30,dutton2010
14455,1363,30,dutton2010
14459,1364,30,dutton2010
14458,1364,30,dutton2010
14460,1364,30,dutton2010
14465,1365,30,dutton2010
14462,1365,30,dutton2010
14463,1365,30,dutton2010
14464,1365,30,dutton2010
14470,1366,30,dutton2010
14469,1366,30,dutton2010
14468,1366,30,dutton2010
14467,1366,30,dutton2010
14473,1367,30,dutton2010
14472,1367,30,dutton2010
14475,1368,30,dutton2010
14476,1368,30,dutton2010
14478,1369,30,dutton2010
14479,1369,30,dutton2010
14480,1369,30,dutton2010
14481,1369,30,dutton2010
14484,1370,30,dutton2010
14483,1370,30,dutton2010
14485,1370,30,dutton2010
14489,1371,30,dutton2010
14487,1371,30,dutton2010
14490,1371,30,dutton2010
14488,1371,30,dutton2010
14493,1372,30,dutton2010
14492,1372,30,dutton2010
14495,1373,30,dutton2010
14496,1373,30,dutton2010
14497,1373,30,dutton2010
14501,1374,30,dutton2010
14499,1374,30,dutton2010
14500,1374,30,dutton2010
14505,1375,30,dutton2010
14504,1375,30,dutton2010
14503,1375,30,dutton2010
14508,1376,30,dutton2010
14507,1376,30,dutton2010
14513,1377,30,dutton2010
14512,1377,30,dutton2010
14511,1377,30,dutton2010
14510,1377,30,dutton2010
14515,1378,30,dutton2010
14516,1378,30,dutton2010
14518,1379,30,dutton2010
14519,1379,30,dutton2010
14524,1380,30,dutton2010
14522,1380,30,dutton2010
14523,1380,30,dutton2010
14521,1380,30,dutton2010
14526,1381,30,dutton2010
14527,1381,30,dutton2010
14529,1382,30,dutton2010
14530,1382,30,dutton2010
14534,1383,30,dutton2010
14532,1383,30,dutton2010
14533,1383,30,dutton2010
14539,1384,30,dutton2010
14536,1384,30,dutton2010
14537,1384,30,dutton2010
14538,1384,30,dutton2010
14543,1385,30,dutton2010
14541,1385,30,dutton2010
14542,1385,30,dutton2010
14546,1386,30,dutton2010
14548,1386,30,dutton2010
14547,1386,30,dutton2010
14545,1386,30,dutton2010
14550,1387,30,dutton2010
14551,1387,30,dutton2010
14552,1387,30,dutton2010
14556,1388,30,dutton2010
14554,1388,30,dutton2010
14555,1388,30,dutton2010
14558,1389,30,dutton2010
14560,1389,30,dutton2010
14559,1389,30,dutton2010
14562,1390,30,dutton2010
14563,1390,30,dutton2010
14566,1391,30,dutton2010
14565,1391,30,dutton2010
14567,1391,30,dutton2010
14570,1392,30,dutton2010
14569,1392,30,dutton2010
14574,1393,30,dutton2010
14572,1393,30,dutton2010
14573,1393,30,dutton2010
14577,1394,30,dutton2010
14578,1394,30,dutton2010
14576,1394,30,dutton2010
14581,1395,30,dutton2010
14580,1395,30,dutton2010
14582,1395,30,dutton2010
14587,1396,30,dutton2010
14584,1396,30,dutton2010
14585,1396,30,dutton2010
14586,1396,30,dutton2010
14590,1397,30,dutton2010
14589,1397,30,dutton2010
14592,1398,30,dutton2010
14593,1398,30,dutton2010
14594,1398,30,dutton2010
14597,1399,30,dutton2010
14596,1399,30,dutton2010
14599,1400,30,dutton2010
14600,1400,30,dutton2010
14601,1400,30,dutton2010
14609,1401,30,dutton2010
14603,1401,30,dutton2010
14604,1401,30,dutton2010
14605,1401,30,dutton2010
14606,1401,30,dutton2010
14608,1401,30,dutton2010
14607,1401,30,dutton2010
14611,1402,30,dutton2010
14613,1402,30,dutton2010
14614,1402,30,dutton2010
14615,1402,30,dutton2010
14616,1402,30,dutton2010
14612,1402,30,dutton2010
14622,1403,30,dutton2010
14621,1403,30,dutton2010
14620,1403,30,dutton2010
14623,1403,30,dutton2010
14619,1403,30,dutton2010
14618,1403,30,dutton2010
14628,1404,30,dutton2010
14627,1404,30,dutton2010
14626,1404,30,dutton2010
14625,1404,30,dutton2010
14631,1405,30,dutton2010
14630,1405,30,dutton2010
14633,1406,30,dutton2010
14636,1406,30,dutton2010
14635,1406,30,dutton2010
14634,1406,30,dutton2010
14640,1407,30,dutton2010
14641,1407,30,dutton2010
14638,1407,30,dutton2010
14639,1407,30,dutton2010
14643,1408,30,dutton2010
14644,1408,30,dutton2010
14645,1408,30,dutton2010
14647,1409,30,dutton2010
14648,1409,30,dutton2010
14649,1409,30,dutton2010
14650,1409,30,dutton2010
14651,1409,30,dutton2010
14652,1409,30,dutton2010
14654,1410,30,dutton2010
14658,1410,30,dutton2010
14657,1410,30,dutton2010
14656,1410,30,dutton2010
14655,1410,30,dutton2010
14661,1411,30,dutton2010
14663,1411,30,dutton2010
14662,1411,30,dutton2010
14660,1411,30,dutton2010
14666,1412,30,dutton2010
14665,1412,30,dutton2010
14668,1412,30,dutton2010
14667,1412,30,dutton2010
14671,1413,30,dutton2010
14672,1413,30,dutton2010
14673,1413,30,dutton2010
14670,1413,30,dutton2010
14674,1413,30,dutton2010
14675,1413,30,dutton2010
14682,1414,30,dutton2010
14677,1414,30,dutton2010
14678,1414,30,dutton2010
14679,1414,30,dutton2010
14680,1414,30,dutton2010
14681,1414,30,dutton2010
14683,1414,30,dutton2010
14686,1415,30,dutton2010
14685,1415,30,dutton2010
14688,1415,30,dutton2010
14687,1415,30,dutton2010
14691,1416,30,dutton2010
14690,1416,30,dutton2010
14693,1416,30,dutton2010
14692,1416,30,dutton2010
14698,1417,30,dutton2010
14697,1417,30,dutton2010
14696,1417,30,dutton2010
14695,1417,30,dutton2010
14705,1418,30,dutton2010
14700,1418,30,dutton2010
14701,1418,30,dutton2010
14702,1418,30,dutton2010
14703,1418,30,dutton2010
14704,1418,30,dutton2010
14706,1418,30,dutton2010
14714,1419,30,dutton2010
14712,1419,30,dutton2010
14711,1419,30,dutton2010
14710,1419,30,dutton2010
14709,1419,30,dutton2010
14708,1419,30,dutton2010
14713,1419,30,dutton2010
14717,1420,30,dutton2010
14716,1420,30,dutton2010
14718,1420,30,dutton2010
14721,1421,30,dutton2010
14720,1421,30,dutton2010
14722,1421,30,dutton2010
14723,1421,30,dutton2010
14724,1421,30,dutton2010
14725,1421,30,dutton2010
14726,1421,30,dutton2010
14734,1422,30,dutton2010
14728,1422,30,dutton2010
14729,1422,30,dutton2010
14730,1422,30,dutton2010
14731,1422,30,dutton2010
14732,1422,30,dutton2010
14733,1422,30,dutton2010
14736,1423,30,dutton2010
14741,1423,30,dutton2010
14740,1423,30,dutton2010
14739,1423,30,dutton2010
14738,1423,30,dutton2010
14737,1423,30,dutton2010
14751,1425,30,dutton2010
14749,1425,30,dutton2010
14750,1425,30,dutton2010
14754,1425,30,dutton2010
14753,1425,30,dutton2010
14752,1425,30,dutton2010
14758,1426,30,dutton2010
14757,1426,30,dutton2010
14756,1426,30,dutton2010
14762,1426,30,dutton2010
14761,1426,30,dutton2010
14760,1426,30,dutton2010
14759,1426,30,dutton2010
14767,1427,30,dutton2010
14765,1427,30,dutton2010
14764,1427,30,dutton2010
14766,1427,30,dutton2010
14769,1428,30,dutton2010
14770,1428,30,dutton2010
14780,1429,30,dutton2010
14772,1429,30,dutton2010
14773,1429,30,dutton2010
14774,1429,30,dutton2010
14775,1429,30,dutton2010
14776,1429,30,dutton2010
14777,1429,30,dutton2010
14778,1429,30,dutton2010
14779,1429,30,dutton2010
14782,1430,30,dutton2010
14787,1430,30,dutton2010
14788,1430,30,dutton2010
14789,1430,30,dutton2010
14790,1430,30,dutton2010
14783,1430,30,dutton2010
14784,1430,30,dutton2010
14785,1430,30,dutton2010
14786,1430,30,dutton2010
14794,1431,30,dutton2010
14793,1431,30,dutton2010
14792,1431,30,dutton2010
14798,1432,30,dutton2010
14796,1432,30,dutton2010
14797,1432,30,dutton2010
14804,1433,30,dutton2010
14803,1433,30,dutton2010
14802,1433,30,dutton2010
14801,1433,30,dutton2010
14800,1433,30,dutton2010
14805,1433,30,dutton2010
14806,1433,30,dutton2010
14809,1434,30,dutton2010
14811,1434,30,dutton2010
14812,1434,30,dutton2010
14813,1434,30,dutton2010
14814,1434,30,dutton2010
14808,1434,30,dutton2010
14810,1434,30,dutton2010
14816,1435,30,dutton2010
14817,1435,30,dutton2010
14820,1436,30,dutton2010
14821,1436,30,dutton2010
14822,1436,30,dutton2010
14823,1436,30,dutton2010
14819,1436,30,dutton2010
14831,1437,30,dutton2010
14825,1437,30,dutton2010
14826,1437,30,dutton2010
14827,1437,30,dutton2010
14828,1437,30,dutton2010
14829,1437,30,dutton2010
14830,1437,30,dutton2010
14835,1438,30,dutton2010
14833,1438,30,dutton2010
14834,1438,30,dutton2010
14836,1438,30,dutton2010
14838,1439,30,dutton2010
14839,1439,30,dutton2010
14843,1440,30,dutton2010
14841,1440,30,dutton2010
14842,1440,30,dutton2010
14844,1440,30,dutton2010
14847,1441,30,dutton2010
14846,1441,30,dutton2010
14848,1441,30,dutton2010
14852,1442,30,dutton2010
14850,1442,30,dutton2010
14851,1442,30,dutton2010
14853,1442,30,dutton2010
14859,1443,30,dutton2010
14858,1443,30,dutton2010
14857,1443,30,dutton2010
14856,1443,30,dutton2010
14855,1443,30,dutton2010
14861,1444,30,dutton2010
14864,1444,30,dutton2010
14863,1444,30,dutton2010
14862,1444,30,dutton2010
14870,1445,30,dutton2010
14866,1445,30,dutton2010
14867,1445,30,dutton2010
14868,1445,30,dutton2010
14869,1445,30,dutton2010
14872,1446,30,dutton2010
14873,1446,30,dutton2010
14874,1446,30,dutton2010
14875,1446,30,dutton2010
14879,1447,30,dutton2010
14880,1447,30,dutton2010
14878,1447,30,dutton2010
14877,1447,30,dutton2010
14882,1448,30,dutton2010
14883,1448,30,dutton2010
14884,1448,30,dutton2010
14885,1448,30,dutton2010
14887,1449,30,dutton2010
14888,1449,30,dutton2010
14889,1449,30,dutton2010
14890,1449,30,dutton2010
14891,1449,30,dutton2010
14892,1449,30,dutton2010
14893,1449,30,dutton2010
14894,1449,30,dutton2010
14897,1450,30,dutton2010
14896,1450,30,dutton2010
14898,1450,30,dutton2010
14899,1450,30,dutton2010
14900,1450,30,dutton2010
14901,1450,30,dutton2010
14902,1450,30,dutton2010
14905,1451,30,dutton2010
14904,1451,30,dutton2010
14908,1451,30,dutton2010
14907,1451,30,dutton2010
14906,1451,30,dutton2010
14911,1452,30,dutton2010
14910,1452,30,dutton2010
14913,1452,30,dutton2010
14912,1452,30,dutton2010
14916,1453,30,dutton2010
14915,1453,30,dutton2010
14920,1454,30,dutton2010
14919,1454,30,dutton2010
14918,1454,30,dutton2010
14925,1455,30,dutton2010
14930,1455,30,dutton2010
14922,1455,30,dutton2010
14923,1455,30,dutton2010
14924,1455,30,dutton2010
14929,1455,30,dutton2010
14926,1455,30,dutton2010
14927,1455,30,dutton2010
14928,1455,30,dutton2010
14933,1456,30,dutton2010
14932,1456,30,dutton2010
14935,1457,30,dutton2010
14936,1457,30,dutton2010
14938,1457,30,dutton2010
14939,1457,30,dutton2010
14937,1457,30,dutton2010
14941,1458,30,dutton2010
14943,1458,30,dutton2010
14942,1458,30,dutton2010
14945,1459,30,dutton2010
14948,1459,30,dutton2010
14947,1459,30,dutton2010
14946,1459,30,dutton2010
14951,1460,30,dutton2010
14952,1460,30,dutton2010
14953,1460,30,dutton2010
14950,1460,30,dutton2010
14959,1461,30,dutton2010
14960,1461,30,dutton2010
14961,1461,30,dutton2010
14956,1461,30,dutton2010
14957,1461,30,dutton2010
14958,1461,30,dutton2010
14955,1461,30,dutton2010
14964,1462,30,dutton2010
14963,1462,30,dutton2010
14965,1462,30,dutton2010
14967,1463,30,dutton2010
14968,1463,30,dutton2010
14969,1463,30,dutton2010
14972,1463,30,dutton2010
14971,1463,30,dutton2010
14970,1463,30,dutton2010
14975,1464,30,dutton2010
14974,1464,30,dutton2010
14976,1464,30,dutton2010
14980,1465,30,dutton2010
14979,1465,30,dutton2010
14978,1465,30,dutton2010
14984,1466,30,dutton2010
14982,1466,30,dutton2010
14986,1466,30,dutton2010
14985,1466,30,dutton2010
14983,1466,30,dutton2010
14992,1467,30,dutton2010
14994,1467,30,dutton2010
14995,1467,30,dutton2010
14988,1467,30,dutton2010
14989,1467,30,dutton2010
14990,1467,30,dutton2010
14991,1467,30,dutton2010
14993,1467,30,dutton2010
15003,1468,30,dutton2010
15002,1468,30,dutton2010
15000,1468,30,dutton2010
14999,1468,30,dutton2010
14998,1468,30,dutton2010
14997,1468,30,dutton2010
15001,1468,30,dutton2010
15005,1469,30,dutton2010
15006,1469,30,dutton2010
15011,1469,30,dutton2010
15010,1469,30,dutton2010
15009,1469,30,dutton2010
15008,1469,30,dutton2010
15007,1469,30,dutton2010
15017,1470,30,dutton2010
15013,1470,30,dutton2010
15014,1470,30,dutton2010
15015,1470,30,dutton2010
15016,1470,30,dutton2010
15018,1470,30,dutton2010
15019,1470,30,dutton2010
15022,1471,30,dutton2010
15025,1471,30,dutton2010
15024,1471,30,dutton2010
15021,1471,30,dutton2010
15023,1471,30,dutton2010
15027,1471,30,dutton2010
15026,1471,30,dutton2010
15032,1472,30,dutton2010
