Language,Taxon,Glottocode,Family,Clade,Classification,Latitude,Longitude
abaga,abaga_sil-1966,abag1245,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/nucl1756/kama1374/unun9976,-6.12028,145.665
aeka,aeka_w69,aeka1244,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,-8.855095,147.99477
aeka,aeka_sm2011,aeka1244,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,-8.855095,147.99477
aeka,aeka_mv70,aeka1244,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,-8.855095,147.99477
aghu,aghu_h70,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_v75,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_mv70,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_v70,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_v00,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aisi,aisi_d2016,musa1266,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/east2767/aisi1234,-5.37407,145.197
aisi,aisi_d2010,musa1266,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/east2767/aisi1234,-5.37407,145.197
alekano,alekano_s56,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano,alekano_s78,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano,alekano_sil-1965d,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-asaroyufa,alekano-asaroyufa_sil-1975h,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
