id,word,slug,concepticon_id,gloss
91,tree,tree,906,TREE
92,two,two,1498,TWO
93,warm/hot,warm,2272,HOT OR WARM
94,water,water,948,WATER
195,wet,wet,1726,WET
96,what?,what,1236,WHAT
196,when?,when,1238,WHEN
105,bad,bad,1292,BAD
9,bone,bone,1394,BONE
10,breast,breast,1402,BREAST
102,animal,animal,619,ANIMAL
197,where?,where,1237,WHERE
97,white,white,1335,WHITE
98,who?,who,1235,WHO
198,wide,wide,1243,WIDE
199,wife,wife,1199,WIFE
200,wind,wind,960,WIND
201,wing,wing,1257,WING
203,with,with,1340,WITH
99,woman,woman,962,WOMAN
205,worm,worm,1219,WORM
22,fire,fire,221,FIRE
134,heavy,heavy,1210,HEAVY
135,here,here,136,HERE
140,husband,husband,1200,HUSBAND
141,ice,ice,617,ICE
150,narrow,narrow,1267,NARROW
52,person,person,683,PERSON
157,"right (correct, true)",right-correct,1725,CORRECT (RIGHT)
158,right (hand),right-hand,2183,RIGHT HAND
159,river,river,666,RIVER
54,road/path,road,2457,PATH OR ROAD
55,root,root,670,ROOT
160,rope,rope,1218,ROPE
161,rotten,rotten,1728,ROTTEN
56,round,round,1395,ROUND
163,salt,salt,1274,SALT
57,sand,sand,671,SAND
86,to stand,to-stand,1442,STAND
188,to think,to-think,1415,THINK (REFLECT)
95,"we incl. (pronoun d:1p, incl)",we-incl,1131,WE (INCLUSIVE)
207,year,year,1226,YEAR
100,yellow,yellow,1424,YELLOW
