105 ('alekano-kefamo_sil-1975g', '492_THREE') 2
106 ('alekano-kefamo_sil-1975g', '879_COUGH') 2
107 ('alekano-kefamo_sil-1975g', '98_ALL') 2
108 ('alekano-kotuni_sil-1975f', '1519_RUN') 2
109 ('alekano-notofana_sil-1976b', '1256_HEAD') 2
110 ('alekano-notofana_sil-1976b', '674_MOUTH') 2
111 ('alekano-wanima_sil-1962b', '1035_GOOD') 2
112 ('alekano-wanima_sil-1962b', '1174_YESTERDAY') 2
113 ('alekano-wanima_sil-1962b', '1237_WHERE') 4
114 ('alekano-wanima_sil-1962b', '1240_NOT') 2
115 ('alekano-wanima_sil-1962b', '1269_NO') 2
116 ('alekano-wanima_sil-1962b', '1329_TOMORROW') 2
117 ('alekano-wanima_sil-1962b', '1394_BONE') 2
118 ('alekano-wanima_sil-1962b', '1395_ROUND') 2
119 ('alekano-wanima_sil-1962b', '1482_SHOULDER') 2
120 ('alekano-wanima_sil-1962b', '1498_TWO') 2
121 ('alekano-wanima_sil-1962b', '960_WIND') 2
122 ('alekano-wanima_sil-1975e', '1174_YESTERDAY') 2
123 ('alekano-wanima_sil-1975e', '1209_I') 3
124 ('alekano-wanima_sil-1975e', '1215_THOU') 3
125 ('alekano-wanima_sil-1975e', '1236_WHAT') 2
126 ('alekano-wanima_sil-1975e', '1237_WHERE') 4
127 ('alekano-wanima_sil-1975e', '1240_NOT') 2
128 ('alekano-wanima_sil-1975e', '1269_NO') 2
129 ('alekano-wanima_sil-1975e', '1295_STICK') 3
130 ('alekano-wanima_sil-1975e', '1329_TOMORROW') 2
131 ('alekano-wanima_sil-1975e', '1335_WHITE') 3
132 ('alekano-wanima_sil-1975e', '1394_BONE') 2
133 ('alekano-wanima_sil-1975e', '1395_ROUND') 2
134 ('alekano-wanima_sil-1975e', '1482_SHOULDER') 2
135 ('alekano-wanima_sil-1975e', '2312_YOU_OBLIQUE_CASE_OF_YOU') 3
136 ('alekano-wanima_sil-1975e', '725_OLD_PERSON') 2
137 ('alekano-wanima_sil-1975e', '817_THEY') 3
138 ('alekano-wanima_sil-1975e', '960_WIND') 2
139 ('alekano-wanima_sil-1975e', '98_ALL') 2
140 ('alekano_salisbury-1956', '323_FAT_ORGANIC_SUBSTANCE') 2
141 ('alekano_scott1978', '1257_WING') 2
142 ('alekano_scott1978', '1269_NO') 2
143 ('alekano_scott1978', '1335_WHITE') 3
144 ('alekano_scott1978', '1394_BONE') 2
145 ('alekano_scott1978', '1395_ROUND') 2
146 ('alekano_scott1978', '1403_BITE') 2
147 ('alekano_scott1978', '1482_SHOULDER') 2
148 ('alekano_scott1978', '1493_ONE') 2
149 ('alekano_scott1978', '1781_THUMB') 2
150 ('alekano_scott1978', '725_OLD_PERSON') 2
151 ('alekano_scott1978', '960_WIND') 2
152 ('alekano_sil-1965d', '1240_NOT') 2
153 ('alekano_sil-1965d', '1408_HEAR') 2
154 ('alekano_sil-1965d', '1410_KNOW_SOMETHING') 2
155 ('alfendio_davies_and_comrie1985', '1287_COLD') 2
156 ('alfendio_davies_and_comrie1985', '1394_BONE') 2
157 ('alor-baranusa-kabir_stokhof-1975', '2457_PATH_OR_ROAD') 2
158 ('alor-baranusa-kabir_stokhof-1975', '323_FAT_ORGANIC_SUBSTANCE') 2
159 ('alor-kalabahi_stokhof-1975', '1394_BONE') 2
160 ('ama_conrad-and-dye-1975', '1221_NOSE') 2
161 ('ama_conrad-and-dye-1975', '962_WOMAN') 2
162 ('ama_sil-1974b', '1352_KNIFE') 2
163 ('ama_sil-1974b', '960_WIND') 2
164 ('amaimon_zgraggen-1980-nadelbert', '1216_MOTHER') 2
165 ('amaimon_zgraggen-1980-nadelbert', '1220_TAIL') 2
166 ('amaimon_zgraggen-1980-nadelbert', '1221_NOSE') 2
167 ('amaimon_zgraggen-1980-nadelbert', '1352_KNIFE') 2
168 ('amaimon_zgraggen-1980-nadelbert', '1425_GREEN') 2
