Concept,Count,Swadesh
1947_inessive,2,
1897_HELP,2,
3076_SLOPE,2,
204_AGAIN,2,
1931_nominalcollective,2,
760_KNOT,2,
1605_SKULL,2,
1171_MIRROR,2,
2126_musicalinstrument,2,
1844_BOAT,2,
2146_kookaburra,2,
2161_crumbs,2,
2174_appetiser,2,
2175_breakbone,2,
2176_emphaticpronounmarker,2,
2018_GREEDY,2,
3252_PANCREAS,2,
2180_point,2,
2173_inlaw,2,
771_HAT,1,
2754_TOWARDS,1,
1648_grandfathergrandchild,1,
2292_opening,1,
3173_TINEA,1,
1234_SMOOTH,1,Swadesh200
772_BELT,1,
2478_crossbelt,1,
2479_breastornament,1,
1288_CAP,1,
2483_earornament,1,
770_EARRING,1,
2485_featherornament,1,
2487_headornament,1,
2488_necklacebeads,1,
2489_necklacedogsteeth,1,
2490_nosebone,1,
1124_PIPE,1,
2492_pubicnut,1,
2493_pubicshell,1,
1165_MOUSTACHE,1,
965_sagoswamp,1,
2399_GRANDPARENT,1,
2255_FATHER-IN-LAW_OF_MAN,1,
2257_MOTHER-IN-LAW_OF_MAN,1,
988_womansinlaw,1,
1618_GRANDSON,1,
999_batten,1,
1782_dugong,1,
1196_birdspgallinaceous,1,
887_BITTER,1,
676_SHIT_DEFECATE,1,
1213_drift,1,
1944_GOD,1,
357_HANG_UP,1,
1235_headache,1,
3017_MONITOR_LIZARD,1,
641_MUSHROOM,1,
590_NAKED,1,
1245_palmmidrib,1,
1181_PALM_TREE,1,
1247_pandanusfruit,1,
2148_PICK,1,
168_REST,1,
1256_sagostirrer,1,
1572_SURPRISED,1,
1273_tomorrowmorning,1,
272_TONGS,1,
2393_JOURNEY,1,
1277_treespgnetumgnemon,1,
1278_tuber,1,
924_VEGETABLES,1,
1599_WORD,1,
2005_MASK,1,
2118_venus,1,
917_ORNAMENT,1,
909_GARBAGE,1,
1043_BRAID,1,
1752_LEAVE,1,
1002_STATUE,1,
131_FESTIVAL,1,
1672_WRITE,1,
1754_BRACELET,1,
2132_ochre,1,
2134_stake,1,
1176_SPADE,1,
393_CIRCUMCISION,1,
2111_alangalang,1,
2181_sorcery,1,
518_SPARK,1,
