107 ('alamblak_davies_and_comrie1985', '2636_WE_TWO_EXCLUSIVE') 2
108 ('alamblak_davies_and_comrie1985', '906_TREE') 2
109 ('alamblak_dye-et-al-1968', '1257_WING') 2
110 ('alamblak_foley2005', '1336_EAT') 3
111 ('alamblak_foley2005', '2255_hesheitthatthose') 2
112 ('alekano-kefamo_sil-1975g', '1224_LIVER') 2
113 ('alekano-kefamo_sil-1975g', '1235_WHO') 2
114 ('alekano-kefamo_sil-1975g', '1236_WHAT') 2
115 ('alekano-kefamo_sil-1975g', '1237_WHERE') 2
116 ('alekano-kefamo_sil-1975g', '1240_NOT') 2
117 ('alekano-kefamo_sil-1975g', '1263_SISTER') 2
118 ('alekano-kefamo_sil-1975g', '1269_NO') 3
119 ('alekano-kefamo_sil-1975g', '1405_NAME') 2
120 ('alekano-kefamo_sil-1975g', '1408_HEAR') 2
121 ('alekano-kefamo_sil-1975g', '1410_KNOW_SOMETHING') 2
122 ('alekano-kefamo_sil-1975g', '1425_GREEN') 2
123 ('alekano-kefamo_sil-1975g', '1429_FULL') 2
124 ('alekano-kefamo_sil-1975g', '1439_SWIM') 2
125 ('alekano-kefamo_sil-1975g', '1441_FLY_MOVE_THROUGH_AIR') 3
126 ('alekano-kefamo_sil-1975g', '1442_STAND') 2
127 ('alekano-kefamo_sil-1975g', '1443_WALK') 2
128 ('alekano-kefamo_sil-1975g', '1494_DIE') 2
129 ('alekano-kefamo_sil-1975g', '1519_RUN') 2
130 ('alekano-kefamo_sil-1975g', '1585_SLEEP') 2
131 ('alekano-kefamo_sil-1975g', '1786_DRY_UP') 2
132 ('alekano-kefamo_sil-1975g', '2102_BURN') 2
133 ('alekano-kefamo_sil-1975g', '215_LIE_DOWN') 2
134 ('alekano-kefamo_sil-1975g', '2272_HOT_OR_WARM') 2
135 ('alekano-kefamo_sil-1975g', '2636_WE_TWO_EXCLUSIVE') 3
136 ('alekano-kefamo_sil-1975g', '492_THREE') 2
137 ('alekano-kefamo_sil-1975g', '702_CATCH') 2
138 ('alekano-kefamo_sil-1975g', '879_COUGH') 2
139 ('alekano-kefamo_sil-1975g', '98_ALL') 2
140 ('alekano-kotuni_sil-1975f', '1519_RUN') 2
141 ('alekano-kotuni_sil-1975f', '2636_WE_TWO_EXCLUSIVE') 2
142 ('alekano-notofana_sil-1976b', '1256_HEAD') 2
143 ('alekano-notofana_sil-1976b', '2636_WE_TWO_EXCLUSIVE') 2
144 ('alekano-notofana_sil-1976b', '674_MOUTH') 2
145 ('alekano-wanima_sil-1962b', '1035_GOOD') 2
146 ('alekano-wanima_sil-1962b', '1174_YESTERDAY') 2
147 ('alekano-wanima_sil-1962b', '1237_WHERE') 4
148 ('alekano-wanima_sil-1962b', '1240_NOT') 2
149 ('alekano-wanima_sil-1962b', '1269_NO') 2
150 ('alekano-wanima_sil-1962b', '1329_TOMORROW') 2
151 ('alekano-wanima_sil-1962b', '1394_BONE') 2
152 ('alekano-wanima_sil-1962b', '1395_ROUND') 2
153 ('alekano-wanima_sil-1962b', '1482_SHOULDER') 2
154 ('alekano-wanima_sil-1962b', '1498_TWO') 2
155 ('alekano-wanima_sil-1962b', '960_WIND') 2
156 ('alekano-wanima_sil-1975e', '1174_YESTERDAY') 2
