1 ('abaga_sil-1966', '2009_DOG') 2
2 ('abaga_sil-1966', '2098_FOOT_OR_LEG') 2
3 ('abaga_sil-1966', '215_LIE_DOWN') 2
4 ('abau_foley2005', '1394_BONE') 2
5 ('abau_foley2005', '1446_COME') 2
6 ('abau_foley2005', '1493_ONE') 2
7 ('abau_foley2005', '1554_MAN') 2
8 ('abau_foley2005', '262_HE_OR_SHE_OR_IT') 2
9 ('abau_foley2005', '695_GO') 2
10 ('abau_foley2005', '817_THEY') 2
11 ('abu-arapesh_sil-1975b', '2098_FOOT_OR_LEG') 2
12 ('abu-arapesh_sil-1975b', '2272_HOT_OR_WARM') 2
13 ('abu-arapesh_sil-1975b', '2636_WE_TWO_EXCLUSIVE') 2
14 ('abu-arapesh_sil-1975b', '817_THEY') 2
15 ('abui-atimelang_stokhof-1975', '1202_BIG') 2
16 ('abui-atimelang_stokhof-1975', '1231_NEW') 2
17 ('abui-atimelang_stokhof-1975', '1248_EYE') 2
18 ('abui-atimelang_stokhof-1975', '1325_FRIEND') 2
19 ('abui-atimelang_stokhof-1975', '1392_LOUSE') 2
20 ('abui-atimelang_stokhof-1975', '1409_SEE') 2
21 ('abui-atimelang_stokhof-1975', '586_GARDEN') 2
22 ('abui-atimelang_stokhof-1975', '670_ROOT') 2
23 ('abui-atimelang_stokhof-1975', '778_SMOKE_EXHAUST') 2
24 ('abui-makadai_stokhof-1975', '1343_SUN') 2
25 ('abui-makadai_stokhof-1975', '1380_TOOTH') 2
26 ('abun-jembun_miedema-welling-1985', '1337_PIG') 2
27 ('aeka_mcelhanon_and_voorhoeve1970', '1343_SUN') 2
28 ('aeka_smallhorn-2011', '1205_TONGUE') 2
29 ('aeka_smallhorn-2011', '1216_MOTHER') 2
30 ('aeka_smallhorn-2011', '1217_FATHER') 2
31 ('aeka_smallhorn-2011', '1218_ROPE') 2
32 ('aeka_smallhorn-2011', '1228_EARTH_SOIL') 4
33 ('aeka_smallhorn-2011', '1246_SMALL') 4
34 ('aeka_smallhorn-2011', '1247_EAR') 4
35 ('aeka_smallhorn-2011', '1256_HEAD') 5
36 ('aeka_smallhorn-2011', '1292_BAD') 2
37 ('aeka_smallhorn-2011', '1295_STICK') 2
38 ('aeka_smallhorn-2011', '1336_EAT') 2
39 ('aeka_smallhorn-2011', '1337_PIG') 2
40 ('aeka_smallhorn-2011', '1346_THROAT') 2
41 ('aeka_smallhorn-2011', '1347_NAPE_OF_NECK') 2
42 ('aeka_smallhorn-2011', '1366_BOY') 4
43 ('aeka_smallhorn-2011', '1405_NAME') 2
44 ('aeka_smallhorn-2011', '1419_FEAR_BE_AFRAID') 2
45 ('aeka_smallhorn-2011', '1430_STAR') 2
46 ('aeka_smallhorn-2011', '1446_COME') 2
47 ('aeka_smallhorn-2011', '1489_CLOUD') 2
48 ('aeka_smallhorn-2011', '159_SWEET_POTATO') 2
49 ('aeka_smallhorn-2011', '1629_faceforehead') 2
