1 ('abaga_sil-1966', '2009_DOG') 2
50 ('aeka_smallhorn-2011', '217_BETELNUT') 2
51 ('aeka_smallhorn-2011', '628_LEAF') 2
52 ('aeka_smallhorn-2011', '646_ASH') 2
53 ('aeka_smallhorn-2011', '675_FAECES_EXCREMENT') 2
54 ('aeka_smallhorn-2011', '695_GO') 2
55 ('aeka_smallhorn-2011', '763_SKIN') 2
56 ('aeka_smallhorn-2011', '868_BANANA') 2
57 ('aeka_smallhorn-2011', '906_TREE') 2
58 ('aeka_smallhorn-2011', '908_DRUM') 2
59 ('aeka_smallhorn-2011', '948_WATER') 2
60 ('aeka_smallhorn-2011', '962_WOMAN') 2
61 ('aeka_smallhorn-2011', '982_LIME_FRUIT') 2
62 ('aeka_wilson-1969', '2098_FOOT_OR_LEG') 2
63 ('aekyom_mcelhanon_and_voorhoeve1970', '221_FIRE') 4
64 ('aekyom_mcelhanon_and_voorhoeve1970', '906_TREE') 2
65 ('aekyom_mcelhanon_and_voorhoeve1970', '948_WATER') 2
66 ('aghu_healey-1970', '1220_TAIL') 2
67 ('aghu_healey-1970', '1416_SIT') 2
68 ('aghu_healey-1970', '1509_MOSQUITO') 2
69 ('aghu_healey-1970', '2009_DOG') 2
70 ('aghu_healey-1970', '2121_ARM_OR_HAND') 2
71 ('aghu_healey-1970', '262_HE_OR_SHE_OR_IT') 2
72 ('aghu_voorhoeve-1975', '2121_ARM_OR_HAND') 2
73 ('agob_mcelhanon_and_voorhoeve1970', '1256_HEAD') 2
74 ('aheave_brown-1973', '1446_COME') 2
75 ('aheave_brown-1973', '671_SAND') 2
76 ('aheave_brown-1973', '72_CLAW') 2
77 ('aisi_daniels2016', '1335_WHITE') 2
78 ('akoye_lloyd-1973', '1205_TONGUE') 2
79 ('akoye_lloyd-1973', '1209_I') 2
80 ('akoye_lloyd-1973', '1215_THOU') 2
81 ('akoye_lloyd-1973', '1554_MAN') 2
82 ('akoye_lloyd-1973', '323_FAT_ORGANIC_SUBSTANCE') 2
83 ('alamblak_davies_and_comrie1985', '1221_NOSE') 2
84 ('alamblak_davies_and_comrie1985', '1236_WHAT') 2
85 ('alamblak_davies_and_comrie1985', '1252_HOUSE') 2
86 ('alamblak_davies_and_comrie1985', '1269_NO') 2
87 ('alamblak_davies_and_comrie1985', '1380_TOOTH') 2
88 ('alamblak_davies_and_comrie1985', '1498_TWO') 2
89 ('alamblak_davies_and_comrie1985', '189_HAIR_BODY') 2
90 ('alamblak_davies_and_comrie1985', '235_FLYING_FOX') 2
91 ('alamblak_davies_and_comrie1985', '677_AXE') 2
92 ('alamblak_davies_and_comrie1985', '817_THEY') 2
93 ('alamblak_davies_and_comrie1985', '906_TREE') 2
94 ('alamblak_dye-et-al-1968', '1257_WING') 2
95 ('alamblak_foley2005', '1336_EAT') 3
96 ('alamblak_foley2005', '262_HE_OR_SHE_OR_IT') 2
97 ('alamblak_foley2005', '817_THEY') 2
98 ('alekano-kefamo_sil-1975g', '1224_LIVER') 2
99 ('alekano-kefamo_sil-1975g', '1235_WHO') 2
100 ('alekano-kefamo_sil-1975g', '1236_WHAT') 2
101 ('alekano-kefamo_sil-1975g', '1237_WHERE') 2
102 ('alekano-kefamo_sil-1975g', '1240_NOT') 2
103 ('alekano-kefamo_sil-1975g', '1263_SISTER') 2
104 ('alekano-kefamo_sil-1975g', '1269_NO') 3
105 ('alekano-kefamo_sil-1975g', '1405_NAME') 2
106 ('alekano-kefamo_sil-1975g', '1408_HEAR') 2
107 ('alekano-kefamo_sil-1975g', '1410_KNOW_SOMETHING') 2
108 ('alekano-kefamo_sil-1975g', '1425_GREEN') 2
109 ('alekano-kefamo_sil-1975g', '1429_FULL') 2
110 ('alekano-kefamo_sil-1975g', '1439_SWIM') 2
111 ('alekano-kefamo_sil-1975g', '1441_FLY_MOVE_THROUGH_AIR') 3
112 ('alekano-kefamo_sil-1975g', '1442_STAND') 2
113 ('alekano-kefamo_sil-1975g', '1443_WALK') 2
114 ('alekano-kefamo_sil-1975g', '1519_RUN') 2
115 ('alekano-kefamo_sil-1975g', '1585_SLEEP') 2
116 ('alekano-kefamo_sil-1975g', '1786_DRY_UP') 2
117 ('alekano-kefamo_sil-1975g', '2101_BE_DEAD_OR_DIE') 2
118 ('alekano-kefamo_sil-1975g', '2102_BURN') 2
119 ('alekano-kefamo_sil-1975g', '215_LIE_DOWN') 2
120 ('alekano-kefamo_sil-1975g', '2272_HOT_OR_WARM') 2
121 ('alekano-kefamo_sil-1975g', '492_THREE') 2
122 ('alekano-kefamo_sil-1975g', '817_THEY') 2
123 ('alekano-kefamo_sil-1975g', '879_COUGH') 2
124 ('alekano-kefamo_sil-1975g', '98_ALL') 2
125 ('alekano-kotuni_sil-1975f', '1519_RUN') 2
126 ('alekano-kotuni_sil-1975f', '2098_FOOT_OR_LEG') 2
127 ('alekano-kotuni_sil-1975f', '817_THEY') 2
128 ('alekano-notofana_sil-1976b', '1256_HEAD') 2
129 ('alekano-notofana_sil-1976b', '674_MOUTH') 2
130 ('alekano-notofana_sil-1976b', '817_THEY') 2
131 ('alekano-wanima_sil-1962b', '1035_GOOD') 2
132 ('alekano-wanima_sil-1962b', '1174_YESTERDAY') 2
133 ('alekano-wanima_sil-1962b', '1237_WHERE') 4
134 ('alekano-wanima_sil-1962b', '1240_NOT') 2
135 ('alekano-wanima_sil-1962b', '1269_NO') 2
136 ('alekano-wanima_sil-1962b', '1329_TOMORROW') 2
137 ('alekano-wanima_sil-1962b', '1394_BONE') 2
138 ('alekano-wanima_sil-1962b', '1395_ROUND') 2
139 ('alekano-wanima_sil-1962b', '1482_SHOULDER') 2
140 ('alekano-wanima_sil-1962b', '1498_TWO') 2
141 ('alekano-wanima_sil-1962b', '2098_FOOT_OR_LEG') 2
142 ('alekano-wanima_sil-1962b', '960_WIND') 2
143 ('alekano-wanima_sil-1975e', '1174_YESTERDAY') 2
144 ('alekano-wanima_sil-1975e', '1209_I') 3
145 ('alekano-wanima_sil-1975e', '1215_THOU') 3
146 ('alekano-wanima_sil-1975e', '1236_WHAT') 2
147 ('alekano-wanima_sil-1975e', '1237_WHERE') 4
148 ('alekano-wanima_sil-1975e', '1240_NOT') 2
149 ('alekano-wanima_sil-1975e', '1269_NO') 2
150 ('alekano-wanima_sil-1975e', '1295_STICK') 3
151 ('alekano-wanima_sil-1975e', '1329_TOMORROW') 2
152 ('alekano-wanima_sil-1975e', '1335_WHITE') 3
153 ('alekano-wanima_sil-1975e', '1394_BONE') 2
154 ('alekano-wanima_sil-1975e', '1395_ROUND') 2
155 ('alekano-wanima_sil-1975e', '1482_SHOULDER') 2
156 ('alekano-wanima_sil-1975e', '2312_YOU_OBLIQUE_CASE_OF_YOU') 3
157 ('alekano-wanima_sil-1975e', '262_HE_OR_SHE_OR_IT') 3
158 ('alekano-wanima_sil-1975e', '725_OLD_PERSON') 2
159 ('alekano-wanima_sil-1975e', '817_THEY') 3
160 ('alekano-wanima_sil-1975e', '960_WIND') 2
161 ('alekano-wanima_sil-1975e', '98_ALL') 2
162 ('alekano_salisbury-1956', '323_FAT_ORGANIC_SUBSTANCE') 2
163 ('alekano_scott1978', '1257_WING') 2
164 ('alekano_scott1978', '1269_NO') 2
165 ('alekano_scott1978', '1280_FALL') 2
166 ('alekano_scott1978', '1335_WHITE') 3
167 ('alekano_scott1978', '1394_BONE') 2
168 ('alekano_scott1978', '1395_ROUND') 2
169 ('alekano_scott1978', '1403_BITE') 2
170 ('alekano_scott1978', '1482_SHOULDER') 2
171 ('alekano_scott1978', '1493_ONE') 2
172 ('alekano_scott1978', '1781_THUMB') 2
173 ('alekano_scott1978', '262_HE_OR_SHE_OR_IT') 2
174 ('alekano_scott1978', '634_MEAT') 2
175 ('alekano_scott1978', '725_OLD_PERSON') 2
176 ('alekano_scott1978', '960_WIND') 2
177 ('alekano_sil-1965d', '1240_NOT') 2
178 ('alekano_sil-1965d', '1408_HEAR') 2
179 ('alekano_sil-1965d', '1410_KNOW_SOMETHING') 2
180 ('alekano_sil-1965d', '78_THAT') 2
181 ('alekano_sil-1965d', '817_THEY') 2
182 ('alfendio_davies_and_comrie1985', '1287_COLD') 2
183 ('alfendio_davies_and_comrie1985', '1394_BONE') 2
184 ('alor-baranusa-kabir_stokhof-1975', '2457_PATH_OR_ROAD') 2
185 ('alor-baranusa-kabir_stokhof-1975', '323_FAT_ORGANIC_SUBSTANCE') 2
186 ('alor-kalabahi_stokhof-1975', '1394_BONE') 2
187 ('ama_conrad-and-dye-1975', '1221_NOSE') 2
188 ('ama_conrad-and-dye-1975', '962_WOMAN') 2
189 ('ama_sil-1974b', '1352_KNIFE') 2
190 ('ama_sil-1974b', '960_WIND') 2
191 ('amaimon_zgraggen-1980-nadelbert', '1216_MOTHER') 2
192 ('amaimon_zgraggen-1980-nadelbert', '1220_TAIL') 2
193 ('amaimon_zgraggen-1980-nadelbert', '1221_NOSE') 2
194 ('amaimon_zgraggen-1980-nadelbert', '1318_CHICKEN') 2
195 ('amaimon_zgraggen-1980-nadelbert', '1352_KNIFE') 2
196 ('amaimon_zgraggen-1980-nadelbert', '1425_GREEN') 2
197 ('amaimon_zgraggen-1980-nadelbert', '1442_STAND') 2
198 ('amaimon_zgraggen-1980-nadelbert', '1489_CLOUD') 2
199 ('amaimon_zgraggen-1980-nadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
200 ('amaimon_zgraggen-1980-nadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
201 ('amaimon_zgraggen-1980-nadelbert', '2708_TALK') 3
202 ('amaimon_zgraggen-1980-nadelbert', '351_TARO') 2
203 ('amaimon_zgraggen-1980-nadelbert', '410_YAM') 2
204 ('amaimon_zgraggen-1980-nadelbert', '470_POSSUM') 3
205 ('amaimon_zgraggen-1980-nadelbert', '586_GARDEN') 2
206 ('amaimon_zgraggen-1980-nadelbert', '677_AXE') 2
207 ('amaimon_zgraggen-1980-nadelbert', '700_CARRY') 3
208 ('amaimon_zgraggen-1980-nadelbert', '725_OLD_PERSON') 4
209 ('amaimon_zgraggen-1980-nadelbert', '857_STONE') 2
210 ('amaimon_zgraggen-1980-nadelbert', '868_BANANA') 2
211 ('amaimon_zgraggen-1980-nadelbert', '908_DRUM') 2
212 ('amaimon_zgraggen-1980-nadelbert', '970_COCONUT') 3
213 ('amaimon_zgraggen-1980-nadelbert', '977_ARROW') 4
214 ('ambai-wadapi-laut_voorhoeve-1975', '1409_SEE') 2
215 ('ambakich-agurant_potter-et-al-2008', '2098_FOOT_OR_LEG') 2
216 ('ambakich-agurant_potter-et-al-2008', '98_ALL') 3
217 ('ambakich-agurant_sil-1977b', '2098_FOOT_OR_LEG') 2
218 ('ambakich-arango_potter-et-al-2008', '1493_ONE') 2
219 ('ambakich-arango_potter-et-al-2008', '2098_FOOT_OR_LEG') 2
220 ('ambakich-ombos_potter-et-al-2008', '1395_ROUND') 2
221 ('ambakich-ombos_potter-et-al-2008', '2098_FOOT_OR_LEG') 2
222 ('ambakich-pangin_potter-et-al-2008', '2098_FOOT_OR_LEG') 2
223 ('ambakich-pangin_potter-et-al-2008', '98_ALL') 2
224 ('ambakich-yaut_potter-et-al-2008', '2098_FOOT_OR_LEG') 2
225 ('ambe-dofo_smallhorn-2011', '970_COCONUT') 2
226 ('ambulas_foley2005', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
227 ('ambulas_foley2005', '262_HE_OR_SHE_OR_IT') 2
228 ('ambulas_foley2005', '817_THEY') 2
229 ('amele_zgraggen-1980-mabuso', '1142_URINE') 2
230 ('amele_zgraggen-1980-mabuso', '1202_BIG') 2
231 ('amele_zgraggen-1980-mabuso', '1216_MOTHER') 3
232 ('amele_zgraggen-1980-mabuso', '1217_FATHER') 2
233 ('amele_zgraggen-1980-mabuso', '1220_TAIL') 4
234 ('amele_zgraggen-1980-mabuso', '1233_NIGHT') 2
235 ('amele_zgraggen-1980-mabuso', '1237_WHERE') 2
236 ('amele_zgraggen-1980-mabuso', '1252_HOUSE') 2
237 ('amele_zgraggen-1980-mabuso', '1268_YES') 2
238 ('amele_zgraggen-1980-mabuso', '1287_COLD') 2
239 ('amele_zgraggen-1980-mabuso', '1318_CHICKEN') 3
240 ('amele_zgraggen-1980-mabuso', '1333_NECK') 2
241 ('amele_zgraggen-1980-mabuso', '1343_SUN') 2
242 ('amele_zgraggen-1980-mabuso', '1352_KNIFE') 3
243 ('amele_zgraggen-1980-mabuso', '1380_TOOTH') 2
244 ('amele_zgraggen-1980-mabuso', '1408_HEAR') 3
245 ('amele_zgraggen-1980-mabuso', '1429_FULL') 2
246 ('amele_zgraggen-1980-mabuso', '1442_STAND') 3
247 ('amele_zgraggen-1980-mabuso', '1482_SHOULDER') 2
248 ('amele_zgraggen-1980-mabuso', '1493_ONE') 2
249 ('amele_zgraggen-1980-mabuso', '1585_SLEEP') 2
250 ('amele_zgraggen-1980-mabuso', '163_BLACK') 2
251 ('amele_zgraggen-1980-mabuso', '165_WALLABY') 2
252 ('amele_zgraggen-1980-mabuso', '175_BLOW_OF_WIND') 2
253 ('amele_zgraggen-1980-mabuso', '1786_DRY_UP') 2
254 ('amele_zgraggen-1980-mabuso', '189_HAIR_BODY') 2
255 ('amele_zgraggen-1980-mabuso', '1927_BAMBOO') 3
256 ('amele_zgraggen-1980-mabuso', '1942_NEAR') 2
257 ('amele_zgraggen-1980-mabuso', '2092_HIS_OR_HER') 2
258 ('amele_zgraggen-1980-mabuso', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
259 ('amele_zgraggen-1980-mabuso', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
260 ('amele_zgraggen-1980-mabuso', '262_HE_OR_SHE_OR_IT') 3
261 ('amele_zgraggen-1980-mabuso', '2708_TALK') 2
262 ('amele_zgraggen-1980-mabuso', '351_TARO') 2
263 ('amele_zgraggen-1980-mabuso', '410_YAM') 2
264 ('amele_zgraggen-1980-mabuso', '420_FOREST') 2
265 ('amele_zgraggen-1980-mabuso', '470_POSSUM') 2
266 ('amele_zgraggen-1980-mabuso', '634_MEAT') 2
267 ('amele_zgraggen-1980-mabuso', '677_AXE') 2
268 ('amele_zgraggen-1980-mabuso', '700_CARRY') 2
269 ('amele_zgraggen-1980-mabuso', '725_OLD_PERSON') 2
270 ('amele_zgraggen-1980-mabuso', '763_SKIN') 2
271 ('amele_zgraggen-1980-mabuso', '817_THEY') 2
272 ('amele_zgraggen-1980-mabuso', '834_BUTTOCKS') 2
273 ('amele_zgraggen-1980-mabuso', '857_STONE') 2
274 ('amele_zgraggen-1980-mabuso', '868_BANANA') 2
275 ('amele_zgraggen-1980-mabuso', '908_DRUM') 2
276 ('amele_zgraggen-1980-mabuso', '945_SPEAR') 3
277 ('amele_zgraggen-1980-mabuso', '970_COCONUT') 2
278 ('amele_zgraggen-1980-mabuso', '977_ARROW') 3
279 ('amele_zgraggen-1980-mabuso', '981_ELBOW') 2
280 ('amowe-bere_lambrecht-et-al-2008', '2098_FOOT_OR_LEG') 2
281 ('amowe-gomu_lambrecht-et-al-2008', '2098_FOOT_OR_LEG') 2
282 ('amowe-tagoe_lambrecht-et-al-2008', '2098_FOOT_OR_LEG') 2
283 ('amowe-tagoe_lambrecht-et-al-2008', '677_AXE') 2
284 ('amto_conrad-and-dye-1975', '1205_TONGUE') 2
285 ('amto_conrad-and-dye-1975', '1482_SHOULDER') 2
286 ('amto_conrad-and-dye-1975', '2098_FOOT_OR_LEG') 2
287 ('amto_conrad-and-dye-1975', '343_VINE') 2
288 ('amto_conrad-and-dye-1975', '410_YAM') 2
289 ('amto_conrad-and-dye-1975', '778_SMOKE_EXHAUST') 2
290 ('anam_zgraggen-1980-sadelbert', '1202_BIG') 2
291 ('anam_zgraggen-1980-sadelbert', '1203_LONG') 2
292 ('anam_zgraggen-1980-sadelbert', '1209_I') 2
293 ('anam_zgraggen-1980-sadelbert', '1220_TAIL') 2
294 ('anam_zgraggen-1980-sadelbert', '1246_SMALL') 2
295 ('anam_zgraggen-1980-sadelbert', '1268_YES') 2
296 ('anam_zgraggen-1980-sadelbert', '1269_NO') 2
297 ('anam_zgraggen-1980-sadelbert', '1318_CHICKEN') 3
298 ('anam_zgraggen-1980-sadelbert', '1335_WHITE') 2
299 ('anam_zgraggen-1980-sadelbert', '1352_KNIFE') 2
300 ('anam_zgraggen-1980-sadelbert', '1403_BITE') 2
301 ('anam_zgraggen-1980-sadelbert', '1442_STAND') 2
302 ('anam_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 2
303 ('anam_zgraggen-1980-sadelbert', '1554_MAN') 2
304 ('anam_zgraggen-1980-sadelbert', '1690_FENCE') 2
305 ('anam_zgraggen-1980-sadelbert', '2092_HIS_OR_HER') 2
306 ('anam_zgraggen-1980-sadelbert', '2099_CHILD') 2
307 ('anam_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
308 ('anam_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
309 ('anam_zgraggen-1980-sadelbert', '2708_TALK') 2
310 ('anam_zgraggen-1980-sadelbert', '351_TARO') 2
311 ('anam_zgraggen-1980-sadelbert', '410_YAM') 2
312 ('anam_zgraggen-1980-sadelbert', '466_CASSOWARY') 2
313 ('anam_zgraggen-1980-sadelbert', '470_POSSUM') 2
314 ('anam_zgraggen-1980-sadelbert', '700_CARRY') 2
315 ('anam_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
316 ('anam_zgraggen-1980-sadelbert', '834_BUTTOCKS') 2
317 ('anam_zgraggen-1980-sadelbert', '908_DRUM') 2
318 ('anam_zgraggen-1980-sadelbert', '945_SPEAR') 2
319 ('anam_zgraggen-1980-sadelbert', '970_COCONUT') 2
320 ('anam_zgraggen-1980-sadelbert', '977_ARROW') 5
321 ('anamgura_zgraggen-1980-sadelbert', '1174_YESTERDAY') 2
322 ('anamgura_zgraggen-1980-sadelbert', '1202_BIG') 2
323 ('anamgura_zgraggen-1980-sadelbert', '1214_THIS') 2
324 ('anamgura_zgraggen-1980-sadelbert', '1217_FATHER') 2
325 ('anamgura_zgraggen-1980-sadelbert', '1220_TAIL') 2
326 ('anamgura_zgraggen-1980-sadelbert', '1236_WHAT') 2
327 ('anamgura_zgraggen-1980-sadelbert', '1258_FINGERNAIL') 2
328 ('anamgura_zgraggen-1980-sadelbert', '1280_FALL') 2
329 ('anamgura_zgraggen-1980-sadelbert', '1318_CHICKEN') 2
330 ('anamgura_zgraggen-1980-sadelbert', '1335_WHITE') 2
331 ('anamgura_zgraggen-1980-sadelbert', '1352_KNIFE') 2
332 ('anamgura_zgraggen-1980-sadelbert', '1419_FEAR_BE_AFRAID') 2
333 ('anamgura_zgraggen-1980-sadelbert', '1442_STAND') 2
334 ('anamgura_zgraggen-1980-sadelbert', '1446_COME') 2
335 ('anamgura_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 2
336 ('anamgura_zgraggen-1980-sadelbert', '1554_MAN') 2
337 ('anamgura_zgraggen-1980-sadelbert', '163_BLACK') 2
338 ('anamgura_zgraggen-1980-sadelbert', '165_WALLABY') 2
339 ('anamgura_zgraggen-1980-sadelbert', '2092_HIS_OR_HER') 2
340 ('anamgura_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
341 ('anamgura_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
342 ('anamgura_zgraggen-1980-sadelbert', '2708_TALK') 2
343 ('anamgura_zgraggen-1980-sadelbert', '351_TARO') 2
344 ('anamgura_zgraggen-1980-sadelbert', '410_YAM') 2
345 ('anamgura_zgraggen-1980-sadelbert', '470_POSSUM') 2
346 ('anamgura_zgraggen-1980-sadelbert', '634_MEAT') 2
347 ('anamgura_zgraggen-1980-sadelbert', '639_MOUNTAIN') 2
348 ('anamgura_zgraggen-1980-sadelbert', '646_ASH') 2
349 ('anamgura_zgraggen-1980-sadelbert', '677_AXE') 2
350 ('anamgura_zgraggen-1980-sadelbert', '700_CARRY') 2
351 ('anamgura_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
352 ('anamgura_zgraggen-1980-sadelbert', '867_backofhand') 2
353 ('anamgura_zgraggen-1980-sadelbert', '908_DRUM') 2
354 ('anamgura_zgraggen-1980-sadelbert', '970_COCONUT') 2
355 ('anamgura_zgraggen-1980-sadelbert', '977_ARROW') 4
356 ('angaataha_lloyd-1973', '1240_NOT') 2
357 ('angaataha_lloyd-1973', '744_EGG') 2
358 ('angal_franklin1975', '1394_BONE') 2
359 ('angal_franklin1975', '817_THEY') 2
360 ('angoram-kambrindo_abbott1985', '1403_BITE') 3
361 ('angoram-kambrindo_abbott1985', '1405_NAME') 2
362 ('angoram-kambrindo_abbott1985', '1433_HIT') 2
363 ('angoram-kambrindo_abbott1985', '1585_SLEEP') 2
364 ('angoram-kanduanum_abbott1985', '2098_FOOT_OR_LEG') 2
365 ('angoram-karau_abbott1985', '1585_SLEEP') 2
366 ('angoram-magendo_abbott1985', '2098_FOOT_OR_LEG') 2
367 ('angoram-marbuk_abbott1985', '2098_FOOT_OR_LEG') 2
368 ('angoram-wagamut_abbott1985', '2108_RAINING_OR_RAIN') 2
369 ('angoram_foley1986', '1217_FATHER') 2
370 ('angoram_foley2005', '1202_BIG') 2
371 ('angoram_foley2005', '1205_TONGUE') 2
372 ('angoram_foley2005', '1221_NOSE') 2
373 ('angoram_foley2005', '1247_EAR') 2
374 ('angoram_foley2005', '1248_EYE') 2
375 ('angoram_foley2005', '1252_HOUSE') 2
376 ('angoram_foley2005', '1287_COLD') 2
377 ('angoram_foley2005', '1313_MOON') 2
378 ('angoram_foley2005', '1336_EAT') 2
379 ('angoram_foley2005', '1337_PIG') 2
380 ('angoram_foley2005', '1343_SUN') 2
381 ('angoram_foley2005', '1380_TOOTH') 2
382 ('angoram_foley2005', '1394_BONE') 2
383 ('angoram_foley2005', '1402_BREAST') 2
384 ('angoram_foley2005', '1408_HEAR') 2
385 ('angoram_foley2005', '1430_STAR') 2
386 ('angoram_foley2005', '1433_HIT') 2
387 ('angoram_foley2005', '1446_COME') 2
388 ('angoram_foley2005', '1493_ONE') 2
389 ('angoram_foley2005', '1498_TWO') 2
390 ('angoram_foley2005', '1509_MOSQUITO') 2
391 ('angoram_foley2005', '1857_CROCODILE') 2
392 ('angoram_foley2005', '189_HAIR_BODY') 2
393 ('angoram_foley2005', '2098_FOOT_OR_LEG') 2
394 ('angoram_foley2005', '2159_GROUND') 2
395 ('angoram_foley2005', '217_BETELNUT') 2
396 ('angoram_foley2005', '221_FIRE') 2
397 ('angoram_foley2005', '492_THREE') 2
398 ('angoram_foley2005', '628_LEAF') 2
399 ('angoram_foley2005', '675_FAECES_EXCREMENT') 2
400 ('angoram_foley2005', '695_GO') 2
401 ('angoram_foley2005', '730_SNAKE') 2
402 ('angoram_foley2005', '744_EGG') 2
403 ('angoram_foley2005', '930_VILLAGE') 2
404 ('angoram_foley2005', '946_BLOOD') 2
405 ('angoram_foley2005', '948_WATER') 2
406 ('angoram_foley2005', '962_WOMAN') 2
407 ('angoram_foley2005', '982_LIME_FRUIT') 2
408 ('angoram_sil-1975j', '2098_FOOT_OR_LEG') 2
409 ('angoram_sil-1975j', '817_THEY') 2
410 ('anjam_zgraggen-1980-raicoast', '1216_MOTHER') 2
411 ('anjam_zgraggen-1980-raicoast', '1220_TAIL') 3
412 ('anjam_zgraggen-1980-raicoast', '1247_EAR') 2
413 ('anjam_zgraggen-1980-raicoast', '1318_CHICKEN') 2
414 ('anjam_zgraggen-1980-raicoast', '1352_KNIFE') 2
415 ('anjam_zgraggen-1980-raicoast', '1366_BOY') 2
416 ('anjam_zgraggen-1980-raicoast', '1371_KNEE') 2
417 ('anjam_zgraggen-1980-raicoast', '1409_SEE') 2
418 ('anjam_zgraggen-1980-raicoast', '1442_STAND') 2
419 ('anjam_zgraggen-1980-raicoast', '1447_GIVE') 2
420 ('anjam_zgraggen-1980-raicoast', '146_SUGAR_CANE') 2
421 ('anjam_zgraggen-1980-raicoast', '1482_SHOULDER') 2
422 ('anjam_zgraggen-1980-raicoast', '1592_CHEST') 2
423 ('anjam_zgraggen-1980-raicoast', '1857_CROCODILE') 2
424 ('anjam_zgraggen-1980-raicoast', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
425 ('anjam_zgraggen-1980-raicoast', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
426 ('anjam_zgraggen-1980-raicoast', '2708_TALK') 3
427 ('anjam_zgraggen-1980-raicoast', '351_TARO') 2
428 ('anjam_zgraggen-1980-raicoast', '410_YAM') 2
429 ('anjam_zgraggen-1980-raicoast', '470_POSSUM') 2
430 ('anjam_zgraggen-1980-raicoast', '503_FROG') 2
