#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.001</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.transnewguinea_tng_combined" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transnewguinea_tng_combined" name="distribution">
#            <parameter id="bcov_alpha.s:transnewguinea_tng_combined" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transnewguinea_tng_combined" name="distribution">
#            <parameter id="bcov_s.s:transnewguinea_tng_combined" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:transnewguinea_tng_combined" name="distribution">
#            <parameter id="gammaShape.s:transnewguinea_tng_combined" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <mean id="Function$Constant.2" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.transnewguinea_tng_combined" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@transnewguinea_tng_combined" excludeto="1" filter="-" id="orgdata.transnewguinea_tng_combined" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:transnewguinea_tng_combined" shape="@gammaShape.s:transnewguinea_tng_combined" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:transnewguinea_tng_combined" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:transnewguinea_tng_combined" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:transnewguinea_tng_combined" id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:transnewguinea_tng_combined">
#                    <parameter dimension="2" id="frequencies.s:transnewguinea_tng_combined" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1 0.9</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:transnewguinea_tng_combined" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@transnewguinea_tng_combined" estimate="false" id="dummyfrequencies.s:transnewguinea_tng_combined" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transnewguinea_tng_combined	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:transnewguinea_tng_combined	bcov_alpha.s:transnewguinea_tng_combined	bcov_s.s:transnewguinea_tng_combined	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transnewguinea_tng_combined.1	frequencies.s:transnewguinea_tng_combined.2	gammaShape.s:transnewguinea_tng_combined
0	-3366357.318572869	-3364333.668133686	-2023.6504391830974	-3364333.668133686	4.500758283017595	707.7939931495554	1.0	0.5	0.5	-2024.6800907349161	0.001	0.1	0.9	1.0
10000	-230692.97136147547	-230587.529602569	-105.44175890647178	-230587.529602569	0.03394725969359597	4.949065321539276	1.0	0.21494123422901262	0.9199432177192332	-6.480372794978134	0.9946982468418686	0.38095155331074404	0.6190484466892557	1.0
20000	-212447.58032690833	-212337.90754734035	-109.67277956797652	-212337.90754734035	0.05975752595260174	8.647047258223923	1.0	0.128130184753181	0.5072181498925062	-11.959062471118301	0.9884220504599078	0.7266469994318201	0.2733530005681791	0.9868253535752899
30000	-198912.60135172718	-198803.1244876621	-109.4768640650676	-198803.1244876621	0.06838597033263406	8.662373704485727	1.0	0.06487857620618794	0.24569202878014654	-13.280611966970275	0.9838930286872435	0.9657122603895012	0.03428773961049814	0.6370343775162352
40000	-189215.40927733915	-189111.8077366868	-103.60154065233935	-189111.8077366868	0.0627772633594388	6.410872537354443	1.0	0.028771956193272444	0.10774540834621209	-6.41446561534686	0.9999874626961721	0.9697961499189197	0.03020385008107968	0.8153009134467316
50000	-179988.30211138868	-179883.2657835943	-105.03632779438018	-179883.2657835943	0.07721867984145873	5.644307960496809	1.0	0.007831016698373154	0.10285154395867109	-8.825468094786995	0.9889917762703133	0.9741024131987669	0.025897586801232483	0.9833038671344951
60000	-172913.32486838487	-172810.4661739409	-102.85869444396707	-172810.4661739409	0.11277577971088035	5.327948404777331	1.0	0.006029387766563996	0.10285154395867109	-5.448947855218254	0.9995794741437263	0.9758654390892191	0.024134560910780294	1.1234209689488381
70000	-168762.8352434541	-168657.984564975	-104.85067847908081	-168657.984564975	0.08814487422155198	5.066609856683772	1.0	0.0019158885426495656	0.11610776469395233	-8.4506801352996	0.9883170301614441	0.9753710298397696	0.02462897016022953	1.1234209689488381
80000	-166384.84095512444	-166281.89064867073	-102.9503064537196	-166281.89064867073	0.05909903219149779	4.9760196146508635	1.0	0.004830837877138882	0.11610776469395233	-5.04845717380104	0.9997485338077183	0.9772934613959755	0.022706538604023843	1.4821215404587726
90000	-164431.70895397052	-164325.85006700517	-105.85888696535389	-164325.85006700517	0.06473179307985652	4.663076027524418	1.0	0.00536977816513809	0.11829719441638707	-9.61718049942713	0.9829674439922399	0.977666481689812	0.02233351831018741	1.4821215404587726
100000	-163409.80702488194	-163293.55660423986	-116.25042064207197	-163293.55660423986	0.08448817983748232	5.762772961631655	1.0	0.01148889277158063	0.1087793986825078	-5.8425105413011575	0.9997224374712763	0.9807861172675336	0.019213882732465933	14.053461791253824
110000	-162777.93730955382	-162652.14122965457	-125.7960798992425	-162652.14122965457	0.10196349242535993	5.779260365180631	1.0	0.015215332527351485	0.10449505592246905	-8.948515787552507	0.9890276453312051	0.9810472587528698	0.018952741247129763	21.601196547684932
120000	-162301.60227946815	-162183.2649212613	-118.33735820687203	-162183.2649212613	0.11683016377331804	5.738264941109745	1.0	0.011325944011157461	0.10448305309592831	-6.421375103785321	0.99762487540036	0.9806146396544585	0.019385360345541246	15.810002860484085
130000	-162158.16863860007	-162036.17172998402	-121.99690861605002	-162036.17172998402	0.08890993357983616	5.404025712032591	1.0	0.007154689136065724	0.1021741598763624	-7.040802874658699	0.994325228307422	0.9810723917331725	0.01892760826682724	19.201549873314686
140000	-162096.9219686368	-161969.54319589605	-127.37877274074246	-161969.54319589605	0.07868420908958887	5.466015007823607	1.0	0.007884457737985281	0.10559266002220287	-7.552992000786826	0.9927685804824121	0.9810827829508946	0.018917217049105182	24.19528325261553
150000	-162066.39760426246	-161939.73088221208	-126.6667220503681	-161939.73088221208	0.10389855330053045	5.487035474268465	1.0	0.0072987820323337565	0.10559266002220287	-5.614668619312989	0.9995561790419534	0.9807433400788379	0.01925665992116191	24.742796087760873
160000	-161731.51571975256	-161607.46201165102	-124.05370810152776	-161607.46201165102	0.09795907914841802	5.411276197795315	1.0	0.022176415034589236	0.10016548269211444	-8.29949102355322	0.9900083319281235	0.9812927141689879	0.01870728583101186	20.450414119280413
170000	-161695.6026774706	-161571.12098540657	-124.48169206401674	-161571.12098540657	0.10493691179031583	5.475490723595606	1.0	0.01879435422519873	0.09686344446882435	-5.679839516464176	0.9992895394835812	0.9812473678101798	0.01875263218981996	22.602104412293773
180000	-161682.70946067703	-161558.08653119794	-124.62292947909364	-161558.08653119794	0.10466066750765698	5.437941616166194	1.0	0.024343972337612672	0.09573948556721609	-7.383466491901681	0.9932576812238917	0.9814837065578428	0.018516293442156977	21.65410089137929
190000	-161697.87540841586	-161580.35146802952	-117.52394038632742	-161580.35146802952	0.09383913732113634	5.4001870978272795	1.0	0.006124059502995495	0.10003479305457791	-7.765572129576916	0.9918097864618598	0.9809002505404587	0.019099749459540915	14.275673223359686
200000	-161613.23972438357	-161493.1520562597	-120.0876681238726	-161493.1520562597	0.10287521087156094	5.452473370195879	1.0	0.006308142165785531	0.10609386670067826	-5.930517723688359	0.9983389191705531	0.9808670725551367	0.019132927444862995	17.96507031646762
