#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.001</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.transnewguinea_tng_combined" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transnewguinea_tng_combined" name="distribution">
#            <parameter id="bcov_alpha.s:transnewguinea_tng_combined" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transnewguinea_tng_combined" name="distribution">
#            <parameter id="bcov_s.s:transnewguinea_tng_combined" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:transnewguinea_tng_combined" name="distribution">
#            <parameter id="gammaShape.s:transnewguinea_tng_combined" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <mean id="Function$Constant.2" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.transnewguinea_tng_combined" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@transnewguinea_tng_combined" excludeto="1" filter="-" id="orgdata.transnewguinea_tng_combined" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:transnewguinea_tng_combined" shape="@gammaShape.s:transnewguinea_tng_combined" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:transnewguinea_tng_combined" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:transnewguinea_tng_combined" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:transnewguinea_tng_combined" id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:transnewguinea_tng_combined">
#                    <parameter dimension="2" id="frequencies.s:transnewguinea_tng_combined" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1 0.9</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:transnewguinea_tng_combined" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@transnewguinea_tng_combined" estimate="false" id="dummyfrequencies.s:transnewguinea_tng_combined" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transnewguinea_tng_combined	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:transnewguinea_tng_combined	bcov_alpha.s:transnewguinea_tng_combined	bcov_s.s:transnewguinea_tng_combined	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transnewguinea_tng_combined.1	frequencies.s:transnewguinea_tng_combined.2	gammaShape.s:transnewguinea_tng_combined
0	-5842911.062393649	-5840887.461061423	-2023.6013322257081	-5840887.461061423	4.499270002517641	658.6870357611296	1.0	0.5	0.5	-2024.6309837775268	0.001	0.1	0.9	1.0
10000	-235208.05398037433	-235105.47388399323	-102.58009638111679	-235105.47388399323	0.03793618630185217	4.683461804087701	1.0	0.3730728502947704	0.21937867370622194	-4.924281625331252	0.9991650924881481	0.4192195905101896	0.5807804094898102	0.6796375116166419
20000	-212791.9700165705	-212686.15159663765	-105.81841993286069	-212686.15159663765	0.07458181569241144	9.63638538735189	1.0	0.18366579937472233	0.05190946081675676	-9.668778626114346	0.9998856898957382	0.7385094530613472	0.26149054693865276	0.4873846066561303
30000	-198389.49106990866	-198281.72180225205	-107.76926765660411	-198281.72180225205	0.18027313374238535	11.219849184085849	1.0	0.06052169706634695	0.03748948570449808	-12.650522365019704	0.9949361097688785	0.9763794693914176	0.02362053060858206	0.26205712461942376
40000	-187885.8512599237	-187776.15841626376	-109.69284365993566	-187776.15841626376	0.9221349770451748	12.506608856961654	1.0	0.02369247671887287	0.0688796095978201	-13.739802523754884	0.9956135629079211	0.9797109722809754	0.020289027719024324	0.4475839471171024
50000	-179152.76016125618	-179039.56477028618	-113.19539097000882	-179039.56477028618	2.5437216860344107	15.495699593594106	1.0	0.008822281894529799	0.08056727760075152	-16.64747717878701	0.9958585940202351	0.9814185404015765	0.018581459598423167	0.8678889538807106
60000	-172599.70471958266	-172488.49604079235	-111.20867879029993	-172488.49604079235	0.34757328494197004	9.778490024047574	1.0	0.0234097051758298	0.09195054191473014	-12.743789719132243	0.9895865882334881	0.9819289218939452	0.018071078106054385	3.2853761365642504
70000	-168652.9659414253	-168544.4666601574	-108.49928126788802	-168544.4666601574	0.2886732487730974	8.926583222765093	1.0	0.026264484692645463	0.10851945245051856	-9.451971853217636	0.9981522809883249	0.9823072550989617	0.017692744901037852	2.8521756458519096
80000	-165360.35528505358	-165253.59893294136	-106.75635211222622	-165253.59893294136	0.19310542281603654	7.3374267383597225	1.0	0.010628632814274837	0.10931022787662348	-8.495281158696697	0.99595518897811	0.980527552512254	0.019472447487745525	2.2786698096139784
90000	-164154.338418641	-164047.5720507054	-106.76636793559113	-164047.5720507054	0.1797490765310615	6.68161377988823	1.0	0.014688137316665285	0.10704760417859348	-7.746220761219128	0.9962888019658814	0.9809734470207074	0.019026552979292018	3.0244815100160296
100000	-163707.2294908981	-163601.57880524633	-105.6506856517687	-163601.57880524633	0.12665004252220707	6.335418926926343	1.0	0.003796414541016237	0.10704760417859348	-7.111821776431061	0.9972953434346432	0.9802642907534754	0.019735709246524014	2.442544064105482
110000	-163500.08752410588	-163394.6542517567	-105.43327234917183	-163394.6542517567	0.1145354861007114	6.3184262629192585	1.0	0.0019745005002629033	0.10704760417859348	-7.634827918000296	0.9954188973733405	0.9801784082589072	0.019821591741092128	1.8897692260696488
120000	-162313.47089505524	-162210.2230699946	-103.24782506064099	-162210.2230699946	0.11272321700325752	5.9905317240271465	1.0	0.018430710661907875	0.10704760417859348	-6.607125122897842	0.9978540158727807	0.9810911925438073	0.018908807456191914	0.4885128826972666
130000	-162232.25769998616	-162129.32943292154	-102.92826706461987	-162129.32943292154	0.10958766959860913	5.904689983743097	1.0	0.016581608850874223	0.09944006865971211	-6.225604550455543	0.9988828393212797	0.9807258247334811	0.01927417526651812	0.5183864397074226
140000	-162211.34648103768	-162107.51731025893	-103.82917077875409	-162107.51731025893	0.1147699081015163	5.912666466746637	1.0	0.00988016187295729	0.09944006865971211	-8.281556669511186	0.9917831812876121	0.9804981120403683	0.019501887959630777	0.07330383815276294
150000	-162196.96442154222	-162091.68358563335	-105.28083590887785	-162091.68358563335	0.10755757227427053	5.770058087647804	1.0	0.008619314481601704	0.1051837034137885	-10.351941357916557	0.9841770906943924	0.980657629539379	0.019342370460620102	0.16127339760136336
160000	-161998.80523264382	-161893.06942565148	-105.73580699234542	-161893.06942565148	0.11603011033905176	5.803516430067373	1.0	0.008182895024841676	0.10475120096631528	-10.289979234447935	0.9845022182152964	0.9805321105735879	0.019467889426411093	0.6496514389725783
170000	-161733.80276585033	-161630.7215808648	-103.08118498552167	-161630.7215808648	0.12276353739918086	5.564654511207944	1.0	0.008113088389807857	0.10056438582355345	-6.60082285303564	0.9964017404574425	0.9806750672252151	0.019324932774783803	0.5334026250174486
180000	-161694.11920361538	-161588.80181205278	-105.31739156260589	-161588.80181205278	0.08270106174059319	5.631908698216333	1.0	0.010328415818389444	0.10056438582355345	-7.258904158145157	0.9943545966927613	0.9808672871206991	0.01913271287929988	2.3162422734602583
190000	-161643.62936947335	-161539.84406790766	-103.7853015656753	-161539.84406790766	0.12256864503835815	5.525349916978989	1.0	0.008092133681472415	0.10898482136777421	-6.020992310791364	0.9982773883852509	0.9810338424176462	0.01896615758235278	1.5525529914672234
200000	-161651.0252992555	-161543.7327407722	-107.29255848332623	-161543.7327407722	0.11270838439738252	5.592202611472901	1.0	0.007675305004740071	0.1065077170417626	-7.02764802757904	0.9950182372315404	0.9810657032977902	0.01893429670220883	4.401158635348802
210000	-161679.58425938687	-161576.4549583868	-103.12930100007796	-161576.4549583868	0.09464425342281726	5.6843739790487025	1.0	0.015825508029149987	0.1065077170417626	-6.574578728170237	0.9969065381829095	0.9808825682186849	0.019117431781313993	0.5021403563724269
220000	-161697.64961106455	-161595.15196782246	-102.49764324208385	-161595.15196782246	0.10239416096902083	5.543169147862784	1.0	0.012451261158627831	0.10627500844307727	-5.819620937531701	0.9990387553591197	0.9810888090129036	0.018911190987095323	0.4143198671096664
230000	-161680.40621049854	-161576.58908753737	-103.81712296114837	-161576.58908753737	0.09683564873498673	5.641336113489779	1.0	0.018118566780892974	0.10392555213194635	-7.000143423063868	0.9952827694624327	0.981360386151175	0.018639613848823844	0.9503482239266289
240000	-161662.63724344518	-161558.9388336119	-103.69840983326782	-161558.9388336119	0.10713727435130341	5.68244915897137	1.0	0.010412528269375462	0.10392555213194635	-6.7195734624024706	0.9963969556777665	0.9806477790464427	0.019352220953556237	1.0007864351740787
250000	-161669.39602738144	-161566.1505509237	-103.24547645774723	-161566.1505509237	0.1118101631386355	5.670948364639009	1.0	0.007188077804421903	0.10392555213194635	-6.149710165624027	0.9983351655642504	0.980819369155044	0.019180630844954985	0.9238953677835464
260000	-161638.5757693162	-161534.5273719152	-104.0483974009982	-161534.5273719152	0.09150516666526742	5.477644669014556	1.0	0.017185383421078722	0.10214742436184573	-8.03171976695982	0.9911570316436741	0.9810418020878883	0.018958197912110543	0.579192721216916
270000	-161642.6940004086	-161537.02857984445	-105.66542056414791	-161537.02857984445	0.11191233481119583	5.649654945334972	1.0	0.014617629129030923	0.10214742436184573	-11.169272549077236	0.9809781763247244	0.980692697253303	0.0193073027466958	0.07654863414417529
280000	-161634.09130031726	-161531.74327094213	-102.34802937512896	-161531.74327094213	0.10136135024597374	5.418030845321433	1.0	0.008459489198756777	0.1013739023204018	-5.531688526048996	0.9996048611764423	0.9811311221429159	0.018868877857082873	0.541371686281862
290000	-161654.12244286385	-161548.771446191	-105.3509966728592	-161548.771446191	0.12171561782730603	5.556085323200277	1.0	0.01270113599595385	0.10300319263712208	-10.020876306456529	0.9845895562116193	0.9811535536406514	0.018846446359347395	0.541371686281862
300000	-161639.48939991742	-161535.4045051696	-104.08489474782948	-161535.4045051696	0.11280324280651136	5.530240658382464	1.0	0.01321792981153329	0.10394189458473019	-5.750403909572661	0.9992344330573771	0.9809866764712649	0.01901332352873382	2.0725421531438766
310000	-161658.02187181308	-161553.90793692798	-104.11393488508732	-161553.90793692798	0.10160197324201517	5.347429873709957	1.0	0.011652963776321771	0.09700560197649417	-7.076794837214304	0.9940063770545808	0.9816704337375335	0.018329566262465274	1.3643007348247445
320000	-161683.0778068501	-161579.141795517	-103.93601133310045	-161579.141795517	0.11931436201322576	5.6158833096414424	1.0	0.007605808104067145	0.10758074820436557	-8.063055418287268	0.9915215178631384	0.9805382873050285	0.01946171269497023	0.34924567289707076
330000	-161632.13899194237	-161529.32964918079	-102.8093427615884	-161529.32964918079	0.10373139970322547	5.48031138625512	1.0	0.005298792601809417	0.10902406161954116	-5.72380730569431	0.9991534810007362	0.9807667647855215	0.019233235214477208	0.785824018640911
340000	-161639.3992193127	-161535.5645056422	-103.83471367052466	-161535.5645056422	0.09639831127512011	5.539001421394487	1.0	0.010970953389956996	0.10844814709057676	-7.7196366294543095	0.9924434014841234	0.980566958415938	0.019433041584060583	0.4914627791087297
350000	-161655.64765027506	-161552.49540721267	-103.15224306240046	-161552.49540721267	0.08691195106283506	5.358816246324146	1.0	0.008928776904751199	0.10341373516609002	-6.565415349527925	0.9958141424110432	0.9811642276988448	0.01883577230115383	0.6718004444825216
360000	-161637.8048179411	-161533.85771892313	-103.94709901798197	-161533.85771892313	0.09211118821969537	5.583329167326212	1.0	0.00884793228548642	0.10587795078571295	-8.404916271739374	0.9902318923868481	0.9806911960728781	0.019308803927120425	0.162762285900424
370000	-161629.36104412205	-161526.47713763095	-102.88390649110033	-161526.47713763095	0.1040312828881115	5.3994359450657745	1.0	0.012431541378343241	0.10611032105669835	-6.823972861259913	0.9950592970739549	0.9811485739879054	0.01885142601209313	0.1956667839600113
380000	-161655.86818356102	-161552.96231059785	-102.90587296316772	-161552.96231059785	0.09929433828228508	5.527741153602664	1.0	0.006082257542706056	0.10399066599599464	-6.725115231842991	0.9958436468923882	0.9807200311018061	0.019279968898192636	0.2574371329846655
390000	-161642.53964319004	-161540.22463235032	-102.3150108397326	-161540.22463235032	0.08505078137805436	5.3978460346494845	1.0	0.014369571187039352	0.10399066599599464	-5.528977630553861	0.9995441579858734	0.9810001859726744	0.01899981402732411	0.4926615014901527
400000	-161666.05697470636	-161560.33528162335	-105.72169308299105	-161560.33528162335	0.09389000570735714	5.539650950552966	1.0	0.00651235115978909	0.10670736623038962	-8.712144790287546	0.9890255493066209	0.981115408291899	0.01888459170809936	1.743266187615419
410000	-161658.58985960463	-161553.08162150148	-105.50823810314199	-161553.08162150148	0.10241496873682342	5.578824123900592	1.0	0.0059597281860857935	0.1093011850391573	-9.853835256668086	0.9852384892081604	0.9808065049874476	0.019193495012550733	0.7437511771317311
420000	-161655.3709191742	-161552.52946341495	-102.84145575923358	-161552.52946341495	0.10941975495338933	5.572333592829186	1.0	0.006601972690167728	0.1117662777996687	-5.8039599447470405	0.9991944712792554	0.980765851852635	0.01923414814736333	0.709811912854094
430000	-161629.4458165508	-161525.6075875127	-103.83822903810105	-161525.6075875127	0.09542667759332464	5.662205561046876	1.0	0.0031790567100006047	0.10973887079867366	-7.007739828669083	0.9953284005498809	0.979976324342415	0.02002367565758331	0.9070060529832196
440000	-161663.13285495786	-161558.92649519135	-104.20635976649912	-161558.92649519135	0.11873332306066527	5.5449824752075525	1.0	0.0069836564346487965	0.10382164737588742	-7.7134272188758635	0.9924853280222745	0.980856874310105	0.01914312568989315	0.9070060529832196
450000	-161625.92940314152	-161522.72124294096	-103.20816020055817	-161522.72124294096	0.10286951880673245	5.457744043978674	1.0	0.01031618454890828	0.10382164737588742	-5.489764795887969	0.999888646157014	0.9810460448244105	0.01895395517558754	1.392137096556209
460000	-161667.793054432	-161562.26860882755	-105.52444560445281	-161562.26860882755	0.10942043194969042	5.6103184716703565	1.0	0.009991826413611243	0.10622748079342004	-6.956593559033506	0.9953266744965108	0.9809576230036113	0.019042376996386737	2.6757873951347215
470000	-161639.88031733426	-161536.81519700948	-103.06512032478807	-161536.81519700948	0.10795385134988483	5.58313350401206	1.0	0.007861142005235935	0.10622748079342004	-6.180824959498193	0.9979226744860805	0.9810208920630724	0.018979107936925737	0.7326307160483138
480000	-161631.81372784806	-161529.4513214798	-102.3624063682371	-161529.4513214798	0.09653170308301019	5.527639399417954	1.0	0.005136849675461894	0.10943490114295762	-5.699842652744588	0.9994011574008081	0.9807943470822409	0.01920565291775741	0.33447036137948405
490000	-161651.2612959273	-161547.5729222574	-103.68837366993097	-161547.5729222574	0.08083724154351656	5.4795520305953485	1.0	0.0125566231476015	0.1094622307935765	-6.678622738950877	0.9958384646598722	0.9809432328074285	0.01905676719257009	1.0376869000111137
500000	-161621.26257408952	-161517.945724188	-103.31684990151761	-161517.945724188	0.09851932831466752	5.418896703941289	1.0	0.012812255686384395	0.11188663542393705	-6.40332149464411	0.9965828415152844	0.9809422447265769	0.019057755273421916	0.8459729708947976
510000	-161639.93279110227	-161535.38350779953	-104.54928330272519	-161535.38350779953	0.11781099390091279	5.551132596946637	1.0	0.007639925445854443	0.10371412137760325	-8.721848281736643	0.9890312326732198	0.9807575888916875	0.019242411108311368	0.5879132196564752
520000	-161627.3797117017	-161524.78818235462	-102.59152934708507	-161524.78818235462	0.11032983647395776	5.476630632866006	1.0	0.016057399678287527	0.10371412137760325	-5.832665145610775	0.9987625006708348	0.9808598726074901	0.0191401273925087	0.5462156003807266
530000	-161624.53412392922	-161519.8163566262	-104.71776730302	-161519.8163566262	0.09666240944313617	5.506274992632024	1.0	0.02035551831957027	0.09931938354797953	-7.637130121690403	0.9926160889362878	0.9812679410585877	0.01873205894141111	1.524201878465679
540000	-161619.47032780977	-161517.70043920417	-101.7698886056157	-161517.70043920417	0.08516162611281836	5.309055190454922	1.0	0.010881236815907193	0.1011621944088813	-5.454208111387849	0.9994955849798	0.9813629477270919	0.018637052272906938	0.05364616380500025
550000	-161650.04689528036	-161546.64604675383	-103.40084852654113	-161546.64604675383	0.122950430653071	5.5894585745018	1.0	0.01338658545315602	0.10189642782490235	-7.719340144083189	0.9926173297919287	0.9810372050536984	0.018962794946300376	0.10035596607693645
560000	-161661.1878972913	-161558.25152878623	-102.93636850506108	-161558.25152878623	0.08705827117055004	5.499408306572518	1.0	0.014870027518454582	0.10775707900384471	-6.7793374028121045	0.9955581653890861	0.9806550372387511	0.01934496276124761	0.22808264678415927
570000	-161631.48019568447	-161526.5744532901	-104.90574239437866	-161526.5744532901	0.11102683908182821	5.542449545690071	1.0	0.012445696200445179	0.10798317895906917	-9.148906841907337	0.9875338138001504	0.980613370567489	0.019386629432509832	0.6283084084959464
580000	-161619.61272959947	-161516.31497415484	-103.29775544463803	-161516.31497415484	0.11694184831375577	5.524403796138844	1.0	0.007298926285896209	0.11053397241481018	-6.377211973645674	0.9970379389334606	0.9809209612240615	0.019079038775937425	0.8191686551682769
590000	-161648.30767583565	-161545.3699835489	-102.93769228673554	-161545.3699835489	0.1070517589028288	5.378919239693624	1.0	0.016410845944184668	0.10539898034803387	-6.716986727535659	0.9953588172621604	0.9813501218223827	0.01864987817761626	0.3329478664227436
600000	-161621.29043126022	-161518.9965709972	-102.29386026301323	-161518.9965709972	0.09113429929007116	5.303649486638616	1.0	0.014152017478393408	0.10539898034803387	-6.067976151604721	0.997346877657732	0.9814760758685026	0.018523924131496432	0.13932037907420047
610000	-161625.51366948444	-161522.67369301975	-102.83997646470233	-161522.67369301975	0.10727583024552083	5.595469938841202	1.0	0.01020499825084056	0.10539898034803387	-5.983735960828808	0.9986499907240822	0.9807512885606248	0.019248711439374285	0.6393654649042075
620000	-161614.68744258466	-161510.12852810806	-104.55891447659477	-161510.12852810806	0.09008734204658983	5.307898291448397	1.0	0.011556155964641905	0.10566639255739313	-7.8440025699992635	0.9912241075505036	0.981142916098551	0.018857083901447982	1.2381912110529516
630000	-161603.83730317457	-161499.25487964708	-104.5824235275021	-161499.25487964708	0.11286184361697804	5.438343546431986	1.0	0.0055949895733571585	0.10937886514089598	-7.001334640547585	0.9945796968459184	0.9807303571317278	0.019269642868270983	1.7356337628080498
640000	-161617.1798839014	-161510.58931184854	-106.59057205287388	-161510.58931184854	0.12977827621972518	5.570804259287623	1.0	0.014482192459398198	0.10024299387526682	-5.753836500960392	0.9993634159242629	0.9807242963232583	0.019275703676740398	4.596681587066543
